,time,price,change
0,09:25:01,56.4,0.3
1,09:30:01,56.4,0.0
2,09:30:04,56.44,0.04
3,09:30:07,56.44,0.0
4,09:30:10,56.4,-0.04
5,09:30:13,56.26,-0.14
6,09:30:16,56.13,-0.13
7,09:30:19,56.11,-0.02
8,09:30:22,56.09,-0.02
9,09:30:25,56.0,-0.09
10,09:30:28,55.87,-0.13
11,09:30:31,55.82,-0.05
12,09:30:34,55.75,-0.07
13,09:30:37,55.74,-0.01
14,09:30:39,55.68,-0.06
15,09:30:43,55.73,0.05
16,09:30:46,55.91,0.18
17,09:30:49,55.73,-0.18
18,09:30:50,55.91,0.18
19,09:30:55,55.62,-0.29
20,09:30:58,55.72,0.1
21,09:30:59,55.62,-0.1
22,09:31:04,55.62,0.0
23,09:31:07,55.57,-0.05
24,09:31:10,55.55,-0.02
25,09:31:14,55.54,-0.01
26,09:31:16,55.51,-0.03
27,09:31:19,55.5,-0.01
28,09:31:22,55.47,-0.03
29,09:31:25,55.47,0.0
30,09:31:28,55.46,-0.01
31,09:31:31,55.4,-0.06
32,09:31:34,55.45,0.05
33,09:31:37,55.4,-0.05
34,09:31:40,55.0,-0.4
35,09:31:43,55.01,0.01
36,09:31:46,55.21,0.2
37,09:31:49,55.2,-0.01
38,09:31:52,55.01,-0.19
39,09:31:55,55.15,0.14
40,09:31:57,55.02,-0.13
41,09:32:01,55.02,0.0
42,09:32:04,55.14,0.12
43,09:32:06,55.02,-0.12
44,09:32:10,55.02,0.0
45,09:32:14,55.19,0.17
46,09:32:16,55.13,-0.06
47,09:32:19,55.05,-0.08
48,09:32:21,55.13,0.08
49,09:32:25,55.13,0.0
50,09:32:28,55.14,0.01
51,09:32:31,55.14,0.0
52,09:32:34,55.14,0.0
53,09:32:37,55.41,0.27
54,09:32:40,55.33,-0.08
55,09:32:43,55.29,-0.04
56,09:32:46,55.28,-0.01
57,09:32:49,55.28,0.0
58,09:32:52,55.28,0.0
59,09:32:54,55.16,-0.12
60,09:32:59,55.21,0.05
61,09:33:01,55.27,0.06
62,09:33:04,55.16,-0.11
63,09:33:06,55.13,-0.03
64,09:33:10,55.13,0.0
65,09:33:14,55.09,-0.04
66,09:33:16,55.13,0.04
67,09:33:19,55.08,-0.05
68,09:33:22,55.06,-0.02
69,09:33:25,55.05,-0.01
70,09:33:28,55.06,0.01
71,09:33:30,55.04,-0.02
72,09:33:34,55.05,0.01
73,09:33:37,55.03,-0.02
74,09:33:39,55.02,-0.01
75,09:33:44,54.98,-0.04
76,09:33:46,54.97,-0.01
77,09:33:49,54.92,-0.05
78,09:33:52,54.88,-0.04
79,09:33:54,55.02,0.14
80,09:33:59,54.78,-0.24
81,09:34:01,54.78,0.0
82,09:34:04,54.78,0.0
83,09:34:07,54.73,-0.05
84,09:34:10,54.78,0.05
85,09:34:14,54.79,0.01
86,09:34:16,54.71,-0.08
87,09:34:19,54.77,0.06
88,09:34:22,54.75,-0.02
89,09:34:25,54.7,-0.05
90,09:34:29,54.74,0.04
91,09:34:31,54.75,0.01
92,09:34:34,54.71,-0.04
93,09:34:37,54.72,0.01
94,09:34:40,54.73,0.01
95,09:34:44,54.84,0.11
96,09:34:46,54.71,-0.13
97,09:34:49,54.85,0.14
98,09:34:52,54.85,0.0
99,09:34:55,54.77,-0.08
100,09:34:57,54.79,0.02
101,09:35:01,54.8,0.01
102,09:35:04,54.8,0.0
103,09:35:07,54.77,-0.03
104,09:35:09,54.81,0.04
105,09:35:14,54.76,-0.05
106,09:35:16,54.77,0.01
107,09:35:19,54.8,0.03
108,09:35:22,54.79,-0.01
109,09:35:25,54.8,0.01
110,09:35:28,54.83,0.03
111,09:35:31,54.83,0.0
112,09:35:34,54.76,-0.07
113,09:35:37,54.8,0.04
114,09:35:40,54.79,-0.01
115,09:35:43,54.7,-0.09
116,09:35:44,54.76,0.06
117,09:35:49,54.7,-0.06
118,09:35:52,54.7,0.0
119,09:35:54,54.69,-0.01
120,09:35:59,54.7,0.01
121,09:36:01,54.6,-0.1
122,09:36:04,54.69,0.09
123,09:36:07,54.6,-0.09
124,09:36:10,54.69,0.09
125,09:36:14,54.7,0.01
126,09:36:16,54.67,-0.03
127,09:36:19,54.72,0.05
128,09:36:22,54.62,-0.1
129,09:36:25,54.66,0.04
130,09:36:29,54.63,-0.03
131,09:36:30,54.69,0.06
132,09:36:34,54.6,-0.09
133,09:36:37,54.66,0.06
134,09:36:39,54.7,0.04
135,09:36:44,54.7,0.0
136,09:36:52,54.69,-0.01
137,09:36:55,54.7,0.01
138,09:36:57,54.7,0.0
139,09:37:01,54.76,0.06
140,09:37:04,54.71,-0.05
141,09:37:07,54.71,0.0
142,09:37:11,54.71,0.0
143,09:37:13,54.79,0.08
144,09:37:16,54.7,-0.09
145,09:37:22,54.7,0.0
146,09:37:25,54.7,0.0
147,09:37:29,54.7,0.0
148,09:37:31,54.7,0.0
149,09:37:34,54.71,0.01
150,09:37:37,54.71,0.0
151,09:37:40,54.79,0.08
152,09:37:43,54.75,-0.04
153,09:37:46,54.8,0.05
154,09:37:49,54.8,0.0
155,09:37:52,54.81,0.01
156,09:37:59,54.81,0.0
157,09:38:01,54.81,0.0
158,09:38:04,54.86,0.05
159,09:38:07,54.86,0.0
160,09:38:10,54.86,0.0
161,09:38:14,54.88,0.02
162,09:38:16,54.86,-0.02
163,09:38:19,54.87,0.01
164,09:38:22,54.89,0.02
165,09:38:26,54.93,0.04
166,09:38:28,54.95,0.02
167,09:38:31,54.95,0.0
168,09:38:34,54.95,0.0
169,09:38:37,54.94,-0.01
170,09:38:40,54.93,-0.01
171,09:38:44,54.93,0.0
172,09:38:46,54.95,0.02
173,09:38:49,54.93,-0.02
174,09:38:52,54.89,-0.04
175,09:38:54,54.89,0.0
176,09:38:58,54.87,-0.02
177,09:39:01,54.86,-0.01
178,09:39:04,54.81,-0.05
179,09:39:07,54.93,0.12
180,09:39:11,54.89,-0.04
181,09:39:13,54.81,-0.08
182,09:39:16,54.83,0.02
183,09:39:22,54.83,0.0
184,09:39:25,54.9,0.07
185,09:39:28,54.83,-0.07
186,09:39:31,54.82,-0.01
187,09:39:34,54.84,0.02
188,09:39:37,54.76,-0.08
189,09:39:40,54.82,0.06
190,09:39:44,54.8,-0.02
191,09:39:44,54.78,-0.02
192,09:39:52,54.78,0.0
193,09:39:55,54.79,0.01
194,09:39:59,54.72,-0.07
195,09:40:01,54.79,0.07
196,09:40:04,54.79,0.0
