,time,price,change
0,09:25:02,32.9,-0.18
1,09:30:02,32.9,0.0
2,09:30:08,32.96,0.06
3,09:30:09,32.95,-0.01
4,09:30:12,32.9,-0.05
5,09:30:13,33.0,0.1
6,09:30:16,33.0,0.0
7,09:30:19,33.1,0.1
8,09:30:22,33.1,0.0
9,09:30:25,33.1,0.0
10,09:30:27,33.11,0.01
11,09:30:32,33.05,-0.06
12,09:30:34,33.1,0.05
13,09:30:38,33.13,0.03
14,09:30:40,33.07,-0.06
15,09:30:44,33.06,-0.01
16,09:30:46,33.04,-0.02
17,09:30:50,33.05,0.01
18,09:30:52,33.0,-0.05
19,09:30:54,33.0,0.0
20,09:30:59,32.97,-0.03
21,09:31:02,33.0,0.03
22,09:31:08,33.0,0.0
23,09:31:09,33.0,0.0
24,09:31:10,32.96,-0.04
25,09:31:13,33.03,0.07
26,09:31:16,33.03,0.0
27,09:31:19,33.0,-0.03
28,09:31:22,33.0,0.0
29,09:31:25,32.97,-0.03
30,09:31:28,32.94,-0.03
31,09:31:31,32.96,0.02
32,09:31:34,32.92,-0.04
33,09:31:37,32.97,0.05
34,09:31:40,32.97,0.0
35,09:31:43,32.99,0.02
36,09:31:46,33.01,0.02
37,09:31:49,33.01,0.0
38,09:31:52,32.97,-0.04
39,09:31:55,32.98,0.01
40,09:31:58,32.96,-0.02
41,09:32:01,32.97,0.01
42,09:32:07,32.96,-0.01
43,09:32:09,32.95,-0.01
44,09:32:10,32.94,-0.01
45,09:32:13,33.0,0.06
46,09:32:17,32.96,-0.04
47,09:32:20,32.99,0.03
48,09:32:22,32.96,-0.03
49,09:32:24,32.96,0.0
50,09:32:28,32.98,0.02
51,09:32:31,32.98,0.0
52,09:32:34,33.0,0.02
53,09:32:37,33.01,0.01
54,09:32:40,33.05,0.04
55,09:32:42,33.01,-0.04
56,09:32:46,33.01,0.0
57,09:32:49,33.05,0.04
58,09:32:52,33.06,0.01
59,09:32:55,33.05,-0.01
60,09:32:58,33.08,0.03
61,09:33:01,33.05,-0.03
62,09:33:07,33.05,0.0
63,09:33:08,33.09,0.04
64,09:33:10,33.05,-0.04
65,09:33:14,33.04,-0.01
66,09:33:16,33.01,-0.03
67,09:33:19,33.05,0.04
68,09:33:22,33.04,-0.01
69,09:33:25,33.0,-0.04
70,09:33:28,32.97,-0.03
71,09:33:32,33.0,0.03
72,09:33:34,32.97,-0.03
73,09:33:37,32.98,0.01
74,09:33:41,32.93,-0.05
75,09:33:43,33.0,0.07
76,09:33:45,32.97,-0.03
77,09:33:50,32.95,-0.02
78,09:33:52,33.0,0.05
79,09:33:56,32.97,-0.03
80,09:33:58,32.97,0.0
81,09:34:02,32.97,0.0
82,09:34:08,32.98,0.01
83,09:34:09,32.98,0.0
84,09:34:11,32.98,0.0
85,09:34:13,32.98,0.0
86,09:34:16,32.98,0.0
87,09:34:19,32.98,0.0
88,09:34:22,32.98,0.0
89,09:34:25,32.99,0.01
90,09:34:28,33.0,0.01
91,09:34:32,33.01,0.01
92,09:34:35,33.01,0.0
93,09:34:37,33.01,0.0
94,09:34:40,32.99,-0.02
95,09:34:43,33.0,0.01
96,09:34:46,32.99,-0.01
97,09:34:49,32.99,0.0
98,09:34:52,32.97,-0.02
99,09:34:56,32.97,0.0
