,time,price,change
0,09:25:02,40.1,0.2
1,09:30:02,40.16,0.06
2,09:30:08,40.16,0.0
3,09:30:09,40.14,-0.02
4,09:30:12,40.11,-0.03
5,09:30:13,40.2,0.09
6,09:30:17,40.21,0.01
7,09:30:19,40.21,0.0
8,09:30:23,40.25,0.04
9,09:30:26,40.28,0.03
10,09:30:28,40.3,0.02
11,09:30:31,40.31,0.01
12,09:30:33,40.34,0.03
13,09:30:37,40.36,0.02
14,09:30:39,40.36,0.0
15,09:30:44,40.39,0.03
16,09:30:47,40.41,0.02
17,09:30:49,40.4,-0.01
18,09:30:52,40.36,-0.04
19,09:30:55,40.4,0.04
20,09:30:58,40.34,-0.06
21,09:31:02,40.36,0.02
22,09:31:07,40.3,-0.06
23,09:31:09,40.3,0.0
24,09:31:10,40.27,-0.03
25,09:31:13,40.24,-0.03
26,09:31:15,40.24,0.0
27,09:31:18,40.2,-0.04
28,09:31:23,40.18,-0.02
29,09:31:25,40.15,-0.03
30,09:31:27,40.2,0.05
31,09:31:31,40.15,-0.05
32,09:31:34,40.13,-0.02
33,09:31:37,40.16,0.03
34,09:31:40,40.19,0.03
35,09:31:42,40.18,-0.01
36,09:31:47,40.19,0.01
37,09:31:49,40.21,0.02
38,09:31:51,40.18,-0.03
39,09:31:56,40.2,0.02
40,09:31:58,40.2,0.0
41,09:32:00,40.2,0.0
42,09:32:07,40.18,-0.02
43,09:32:09,40.17,-0.01
44,09:32:11,40.15,-0.02
45,09:32:13,40.17,0.02
46,09:32:16,40.12,-0.05
47,09:32:19,40.11,-0.01
48,09:32:22,40.07,-0.04
49,09:32:25,40.07,0.0
50,09:32:28,40.05,-0.02
51,09:32:32,40.06,0.01
52,09:32:34,40.05,-0.01
53,09:32:37,40.05,0.0
54,09:32:41,40.07,0.02
55,09:32:43,40.05,-0.02
56,09:32:46,40.07,0.02
57,09:32:48,40.07,0.0
58,09:32:51,40.04,-0.03
59,09:32:55,40.04,0.0
60,09:32:58,40.01,-0.03
61,09:33:02,40.01,0.0
62,09:33:06,40.05,0.04
63,09:33:09,40.07,0.02
64,09:33:10,40.05,-0.02
65,09:33:13,40.07,0.02
66,09:33:16,40.1,0.03
67,09:33:19,40.12,0.02
68,09:33:22,40.15,0.03
69,09:33:25,40.19,0.04
70,09:33:28,40.22,0.03
71,09:33:30,40.24,0.02
72,09:33:35,40.26,0.02
73,09:33:37,40.23,-0.03
74,09:33:39,40.29,0.06
75,09:33:44,40.32,0.03
76,09:33:46,40.24,-0.08
77,09:33:49,40.32,0.08
78,09:33:52,40.34,0.02
79,09:33:55,40.35,0.01
80,09:33:59,40.35,0.0
81,09:34:01,40.37,0.02
82,09:34:07,40.33,-0.04
