,time,price,change
0,09:25:01,54.34,-0.26
1,09:30:00,54.4,0.06
2,09:30:04,54.33,-0.07
3,09:30:07,54.36,0.03
4,09:30:11,54.46,0.1
5,09:30:14,54.47,0.01
6,09:30:17,54.49,0.02
7,09:30:20,54.49,0.0
8,09:30:22,54.53,0.04
9,09:30:24,54.58,0.05
10,09:30:27,54.54,-0.04
11,09:30:32,54.54,0.0
12,09:30:33,54.54,0.0
13,09:30:37,54.54,0.0
14,09:30:39,54.54,0.0
15,09:30:44,54.54,0.0
16,09:30:46,54.52,-0.02
17,09:30:49,54.54,0.02
18,09:30:52,54.59,0.05
19,09:30:56,54.59,0.0
20,09:30:59,54.65,0.06
21,09:31:02,54.66,0.01
22,09:31:03,54.68,0.02
23,09:31:07,54.7,0.02
24,09:31:10,54.89,0.19
25,09:31:13,54.7,-0.19
26,09:31:17,54.87,0.17
27,09:31:19,54.87,0.0
28,09:31:23,54.78,-0.09
29,09:31:25,54.85,0.07
30,09:31:29,54.68,-0.17
31,09:31:32,54.51,-0.17
32,09:31:35,54.79,0.28
33,09:31:38,54.78,-0.01
34,09:31:41,54.78,0.0
35,09:31:43,54.78,0.0
36,09:31:47,54.77,-0.01
37,09:31:52,54.77,0.0
38,09:31:58,54.76,-0.01
39,09:32:02,54.7,-0.06
40,09:32:04,54.75,0.05
41,09:32:11,54.74,-0.01
42,09:32:13,54.74,0.0
43,09:32:16,54.74,0.0
44,09:32:20,54.76,0.02
45,09:32:23,54.78,0.02
46,09:32:26,54.78,0.0
47,09:32:28,54.84,0.06
48,09:32:31,54.85,0.01
49,09:32:35,54.85,0.0
50,09:32:38,54.84,-0.01
51,09:32:43,54.78,-0.06
52,09:32:46,54.78,0.0
53,09:32:50,54.89,0.11
54,09:32:53,54.78,-0.11
55,09:32:54,54.78,0.0
56,09:32:59,54.78,0.0
57,09:33:01,54.78,0.0
58,09:33:05,54.77,-0.01
59,09:33:07,54.78,0.01
60,09:33:13,54.88,0.1
61,09:33:19,54.88,0.0
62,09:33:22,54.85,-0.03
63,09:33:26,54.85,0.0
64,09:33:29,54.86,0.01
65,09:33:31,54.85,-0.01
66,09:33:35,54.87,0.02
67,09:33:38,54.87,0.0
68,09:33:41,54.87,0.0
69,09:33:43,54.85,-0.02
70,09:33:46,54.86,0.01
71,09:33:50,54.86,0.0
72,09:33:52,54.87,0.01
73,09:33:56,54.87,0.0
74,09:33:59,54.87,0.0
75,09:34:01,54.86,-0.01
76,09:34:05,54.87,0.01
77,09:34:07,54.87,0.0
78,09:34:10,54.86,-0.01
79,09:34:14,54.86,0.0
80,09:34:17,54.86,0.0
81,09:34:22,54.87,0.01
82,09:34:25,54.86,-0.01
83,09:34:28,54.88,0.02
84,09:34:32,54.88,0.0
85,09:34:35,54.88,0.0
86,09:34:37,54.88,0.0
87,09:34:41,54.87,-0.01
88,09:34:44,54.87,0.0
89,09:34:46,54.88,0.01
90,09:34:50,54.88,0.0
91,09:34:55,54.89,0.01
92,09:34:59,54.9,0.01
93,09:35:08,54.9,0.0
94,09:35:11,54.9,0.0
95,09:35:17,54.96,0.06
96,09:35:22,54.96,0.0
97,09:35:25,54.96,0.0
98,09:35:28,54.95,-0.01
99,09:35:32,54.95,0.0
100,09:35:35,54.96,0.01
101,09:35:38,54.97,0.01
102,09:35:41,54.96,-0.01
103,09:35:44,54.98,0.02
104,09:35:47,54.98,0.0
105,09:35:50,54.98,0.0
106,09:35:52,54.97,-0.01
107,09:35:55,54.97,0.0
108,09:35:58,54.96,-0.01
109,09:36:02,54.96,0.0
110,09:36:04,54.96,0.0
111,09:36:08,54.97,0.01
112,09:36:10,54.91,-0.06
113,09:36:13,54.91,0.0
114,09:36:16,54.96,0.05
115,09:36:20,54.9,-0.06
116,09:36:23,54.91,0.01
117,09:36:26,54.9,-0.01
118,09:36:29,54.92,0.02
119,09:36:32,54.93,0.01
120,09:36:35,54.9,-0.03
121,09:36:37,54.9,0.0
122,09:36:41,54.91,0.01
123,09:36:44,54.91,0.0
124,09:36:47,54.9,-0.01
125,09:36:50,54.9,0.0
126,09:36:53,54.91,0.01
127,09:36:56,54.89,-0.02
128,09:36:58,54.89,0.0
129,09:37:02,54.9,0.01
130,09:37:05,54.9,0.0
131,09:37:07,54.87,-0.03
132,09:37:11,54.86,-0.01
133,09:37:13,54.84,-0.02
134,09:37:20,54.8,-0.04
135,09:37:23,54.8,0.0
136,09:37:26,54.79,-0.01
137,09:37:29,54.78,-0.01
138,09:37:32,54.76,-0.02
139,09:37:34,54.76,0.0
140,09:37:37,54.75,-0.01
141,09:37:41,54.75,0.0
142,09:37:44,54.76,0.01
143,09:37:47,54.76,0.0
144,09:37:49,54.78,0.02
145,09:37:52,54.79,0.01
146,09:37:56,54.83,0.04
147,09:37:58,54.75,-0.08
148,09:38:02,54.79,0.04
149,09:38:05,54.79,0.0
150,09:38:08,54.79,0.0
151,09:38:10,54.79,0.0
152,09:38:14,54.8,0.01
153,09:38:20,54.85,0.05
154,09:38:23,54.85,0.0
155,09:38:28,54.87,0.02
156,09:38:32,54.87,0.0
157,09:38:34,54.9,0.03
158,09:38:37,54.9,0.0
159,09:38:40,54.87,-0.03
160,09:38:44,54.87,0.0
161,09:38:47,54.88,0.01
162,09:38:50,54.93,0.05
163,09:38:52,54.91,-0.02
164,09:38:55,54.95,0.04
165,09:38:58,54.93,-0.02
166,09:39:02,54.94,0.01
167,09:39:05,54.96,0.02
168,09:39:07,54.95,-0.01
169,09:39:14,54.95,0.0
170,09:39:16,54.95,0.0
171,09:39:20,54.95,0.0
172,09:39:23,54.96,0.01
173,09:39:26,54.97,0.01
174,09:39:29,54.97,0.0
175,09:39:32,54.96,-0.01
176,09:39:35,54.98,0.02
177,09:39:38,54.96,-0.02
178,09:39:41,54.95,-0.01
179,09:39:44,54.96,0.01
180,09:39:49,54.96,0.0
181,09:39:53,54.96,0.0
182,09:39:55,54.99,0.03
183,09:39:58,54.98,-0.01
184,09:40:02,54.99,0.01
185,09:40:05,54.99,0.0
186,09:40:08,54.98,-0.01
187,09:40:11,54.96,-0.02
188,09:40:14,54.96,0.0
189,09:40:20,54.96,0.0
190,09:40:23,54.96,0.0
191,09:40:25,54.96,0.0
192,09:40:28,54.96,0.0
193,09:40:31,54.99,0.03
194,09:40:35,54.99,0.0
195,09:40:38,54.99,0.0
196,09:40:41,55.0,0.01
197,09:40:44,54.96,-0.04
198,09:40:50,54.96,0.0
199,09:40:52,54.96,0.0
200,09:40:55,54.97,0.01
201,09:40:58,54.96,-0.01
202,09:41:02,54.95,-0.01
203,09:41:05,54.97,0.02
204,09:41:08,54.98,0.01
205,09:41:10,54.97,-0.01
206,09:41:16,54.97,0.0
207,09:41:20,54.98,0.01
208,09:41:22,54.98,0.0
209,09:41:26,54.99,0.01
210,09:41:29,55.02,0.03
211,09:41:32,55.09,0.07
212,09:41:34,55.16,0.07
213,09:41:37,55.16,0.0
214,09:41:41,55.16,0.0
215,09:41:44,55.18,0.02
216,09:41:47,55.18,0.0
217,09:41:50,55.18,0.0
218,09:41:52,55.19,0.01
219,09:41:56,55.18,-0.01
220,09:41:58,55.2,0.02
221,09:42:02,55.16,-0.04
222,09:42:04,55.16,0.0
223,09:42:11,55.2,0.04
224,09:42:14,55.22,0.02
225,09:42:16,55.25,0.03
226,09:42:20,55.22,-0.03
227,09:42:23,55.2,-0.02
228,09:42:26,55.27,0.07
229,09:42:28,55.28,0.01
230,09:42:32,55.24,-0.04
231,09:42:35,55.24,0.0
232,09:42:37,55.24,0.0
233,09:42:41,55.24,0.0
234,09:42:44,55.2,-0.04
235,09:42:46,55.24,0.04
236,09:42:50,55.2,-0.04
237,09:42:52,55.25,0.05
238,09:42:55,55.24,-0.01
239,09:42:58,55.24,0.0
240,09:43:01,55.25,0.01
241,09:43:04,55.26,0.01
242,09:43:08,55.26,0.0
243,09:43:10,55.28,0.02
244,09:43:15,55.25,-0.03
245,09:43:17,55.28,0.03
246,09:43:20,55.3,0.02
247,09:43:23,55.35,0.05
248,09:43:26,55.3,-0.05
249,09:43:28,55.35,0.05
250,09:43:32,55.25,-0.1
251,09:43:34,55.25,0.0
252,09:43:38,55.25,0.0
253,09:43:41,55.26,0.01
254,09:43:50,55.33,0.07
255,09:43:53,55.31,-0.02
256,09:43:56,55.3,-0.01
257,09:43:58,55.33,0.03
258,09:44:01,55.32,-0.01
259,09:44:04,55.34,0.02
260,09:44:07,55.33,-0.01
261,09:44:10,55.34,0.01
262,09:44:14,55.34,0.0
263,09:44:16,55.31,-0.03
264,09:44:19,55.38,0.07
265,09:44:23,55.33,-0.05
266,09:44:26,55.3,-0.03
267,09:44:28,55.28,-0.02
268,09:44:31,55.33,0.05
269,09:44:35,55.39,0.06
270,09:44:37,55.39,0.0
271,09:44:41,55.36,-0.03
272,09:44:44,55.39,0.03
273,09:44:47,55.4,0.01
274,09:44:50,55.4,0.0
275,09:44:53,55.43,0.03
276,09:44:56,55.4,-0.03
277,09:44:59,55.42,0.02
278,09:45:02,55.4,-0.02
279,09:45:08,55.42,0.02
280,09:45:14,55.41,-0.01
281,09:45:17,55.34,-0.07
282,09:45:20,55.4,0.06
283,09:45:22,55.4,0.0
284,09:45:26,55.38,-0.02
285,09:45:28,55.38,0.0
286,09:45:31,55.4,0.02
287,09:45:34,55.4,0.0
288,09:45:38,55.42,0.02
289,09:45:40,55.38,-0.04
290,09:45:43,55.39,0.01
291,09:45:47,55.34,-0.05
292,09:45:49,55.38,0.04
293,09:45:52,55.32,-0.06
294,09:45:55,55.38,0.06
295,09:45:59,55.31,-0.07
296,09:46:05,55.31,0.0
297,09:46:07,55.31,0.0
298,09:46:14,55.31,0.0
299,09:46:17,55.28,-0.03
300,09:46:20,55.3,0.02
301,09:46:25,55.3,0.0
302,09:46:29,55.28,-0.02
303,09:46:32,55.3,0.02
304,09:46:35,55.28,-0.02
305,09:46:37,55.3,0.02
306,09:46:41,55.3,0.0
307,09:46:43,55.28,-0.02
308,09:46:47,55.3,0.02
309,09:46:50,55.28,-0.02
310,09:46:53,55.28,0.0
311,09:46:59,55.28,0.0
312,09:47:02,55.28,0.0
313,09:47:05,55.27,-0.01
314,09:47:07,55.27,0.0
315,09:47:11,55.27,0.0
316,09:47:13,55.27,0.0
317,09:47:16,55.3,0.03
318,09:47:19,55.3,0.0
319,09:47:22,55.3,0.0
320,09:47:26,55.31,0.01
321,09:47:28,55.3,-0.01
322,09:47:32,55.3,0.0
323,09:47:35,55.31,0.01
324,09:47:38,55.3,-0.01
325,09:47:40,55.3,0.0
326,09:47:43,55.3,0.0
327,09:47:47,55.3,0.0
328,09:47:53,55.3,0.0
329,09:47:56,55.28,-0.02
330,09:47:59,55.27,-0.01
331,09:48:01,55.28,0.01
332,09:48:05,55.27,-0.01
333,09:48:07,55.27,0.0
334,09:48:11,55.25,-0.02
335,09:48:13,55.27,0.02
336,09:48:17,55.27,0.0
337,09:48:20,55.22,-0.05
338,09:48:22,55.28,0.06
339,09:48:26,55.22,-0.06
340,09:48:31,55.23,0.01
341,09:48:34,55.23,0.0
342,09:48:38,55.22,-0.01
343,09:48:44,55.22,0.0
344,09:48:46,55.21,-0.01
345,09:48:49,55.22,0.01
346,09:48:53,55.21,-0.01
347,09:48:54,55.21,0.0
348,09:48:59,55.21,0.0
349,09:49:05,55.2,-0.01
350,09:49:07,55.2,0.0
351,09:49:10,55.21,0.01
352,09:49:13,55.2,-0.01
353,09:49:17,55.2,0.0
354,09:49:19,55.21,0.01
355,09:49:23,55.2,-0.01
356,09:49:25,55.2,0.0
357,09:49:29,55.2,0.0
358,09:49:32,55.21,0.01
359,09:49:35,55.21,0.0
360,09:49:38,55.21,0.0
361,09:49:41,55.18,-0.03
362,09:49:44,55.2,0.02
363,09:49:46,55.2,0.0
364,09:49:52,55.2,0.0
365,09:49:56,55.21,0.01
366,09:49:58,55.21,0.0
367,09:50:02,55.21,0.0
368,09:50:04,55.22,0.01
369,09:50:08,55.21,-0.01
370,09:50:16,55.21,0.0
371,09:50:19,55.21,0.0
372,09:50:26,55.2,-0.01
373,09:50:28,55.21,0.01
374,09:50:31,55.22,0.01
375,09:50:34,55.22,0.0
376,09:50:38,55.24,0.02
377,09:50:41,55.24,0.0
378,09:50:43,55.24,0.0
379,09:50:47,55.24,0.0
380,09:50:49,55.26,0.02
381,09:50:53,55.26,0.0
382,09:50:56,55.28,0.02
383,09:50:59,55.29,0.01
384,09:51:01,55.3,0.01
385,09:51:04,55.29,-0.01
