,time,price,change
0,09:25:01,36.02,0.02
1,09:30:01,36.05,0.03
2,09:30:07,36.0,-0.05
3,09:30:09,36.02,0.02
4,09:30:12,35.97,-0.05
5,09:30:13,35.9,-0.07
6,09:30:16,35.91,0.01
7,09:30:18,35.89,-0.02
8,09:30:22,35.9,0.01
9,09:30:25,35.89,-0.01
10,09:30:28,35.9,0.01
11,09:30:31,35.93,0.03
12,09:30:34,35.89,-0.04
13,09:30:37,35.9,0.01
14,09:30:39,35.87,-0.03
15,09:30:43,35.9,0.03
16,09:30:46,35.87,-0.03
17,09:30:49,35.88,0.01
18,09:30:52,35.99,0.11
19,09:30:55,35.9,-0.09
20,09:30:58,35.91,0.01
21,09:31:00,35.93,0.02
22,09:31:07,35.91,-0.02
23,09:31:09,35.96,0.05
24,09:31:10,35.98,0.02
25,09:31:13,35.99,0.01
26,09:31:16,36.01,0.02
27,09:31:19,36.02,0.01
28,09:31:22,36.03,0.01
29,09:31:25,36.01,-0.02
30,09:31:29,36.03,0.02
31,09:31:31,36.03,0.0
32,09:31:35,36.01,-0.02
33,09:31:37,35.97,-0.04
34,09:31:40,36.01,0.04
35,09:31:43,36.0,-0.01
36,09:31:46,36.0,0.0
37,09:31:49,35.96,-0.04
38,09:31:52,35.99,0.03
39,09:31:56,35.98,-0.01
40,09:31:58,35.96,-0.02
41,09:32:02,35.98,0.02
42,09:32:07,35.96,-0.02
43,09:32:08,35.99,0.03
44,09:32:10,36.0,0.01
45,09:32:13,36.0,0.0
46,09:32:16,35.99,-0.01
47,09:32:19,36.0,0.01
48,09:32:22,35.98,-0.02
49,09:32:25,35.98,0.0
50,09:32:28,36.0,0.02
51,09:32:30,36.0,0.0
52,09:32:34,35.97,-0.03
53,09:32:37,35.96,-0.01
54,09:32:40,35.97,0.01
55,09:32:43,35.97,0.0
56,09:32:46,35.98,0.01
57,09:32:49,35.98,0.0
58,09:32:52,36.03,0.05
59,09:32:54,35.98,-0.05
60,09:32:59,36.03,0.05
61,09:33:01,36.01,-0.02
62,09:33:07,36.01,0.0
63,09:33:08,36.02,0.01
64,09:33:10,36.01,-0.01
65,09:33:13,36.0,-0.01
66,09:33:16,36.01,0.01
67,09:33:19,36.03,0.02
68,09:33:22,36.01,-0.02
69,09:33:24,36.0,-0.01
70,09:33:28,36.02,0.02
71,09:33:30,36.01,-0.01
72,09:33:35,35.97,-0.04
73,09:33:37,35.97,0.0
74,09:33:39,36.0,0.03
75,09:33:43,35.97,-0.03
76,09:33:45,36.0,0.03
77,09:33:49,36.0,0.0
78,09:33:52,36.02,0.02
79,09:33:54,35.97,-0.05
80,09:33:58,36.0,0.03
81,09:34:01,35.98,-0.02
82,09:34:07,36.0,0.02
83,09:34:08,36.0,0.0
84,09:34:11,36.0,0.0
85,09:34:13,36.0,0.0
86,09:34:16,36.0,0.0
87,09:34:19,36.02,0.02
88,09:34:22,36.02,0.0
