,time,price,change
0,09:25:02,23.78,-0.02
1,09:30:01,23.8,0.02
2,09:30:03,23.8,0.0
3,09:30:07,23.88,0.08
4,09:30:10,23.9,0.02
5,09:30:13,23.9,0.0
6,09:30:15,23.88,-0.02
7,09:30:18,23.95,0.07
8,09:30:20,23.92,-0.03
9,09:30:25,23.93,0.01
10,09:30:28,23.92,-0.01
11,09:30:30,23.9,-0.02
12,09:30:35,23.9,0.0
13,09:30:37,23.91,0.01
14,09:30:40,23.92,0.01
15,09:30:43,23.86,-0.06
16,09:30:45,23.82,-0.04
17,09:30:48,23.84,0.02
18,09:30:50,23.84,0.0
19,09:30:55,23.83,-0.01
20,09:30:56,23.82,-0.01
21,09:31:01,23.8,-0.02
22,09:31:05,23.8,0.0
23,09:31:06,23.8,0.0
24,09:31:10,23.74,-0.06
25,09:31:13,23.73,-0.01
26,09:31:15,23.75,0.02
27,09:31:20,23.7,-0.05
28,09:31:22,23.75,0.05
29,09:31:25,23.7,-0.05
30,09:31:26,23.71,0.01
31,09:31:31,23.71,0.0
32,09:31:33,23.72,0.01
33,09:31:37,23.72,0.0
34,09:31:40,23.71,-0.01
35,09:31:43,23.71,0.0
36,09:31:46,23.72,0.01
37,09:31:48,23.72,0.0
38,09:31:52,23.74,0.02
39,09:31:55,23.73,-0.01
40,09:31:58,23.74,0.01
41,09:32:01,23.74,0.0
42,09:32:05,23.74,0.0
43,09:32:07,23.76,0.02
44,09:32:10,23.8,0.04
45,09:32:11,23.8,0.0
46,09:32:16,23.83,0.03
47,09:32:20,23.83,0.0
48,09:32:22,23.85,0.02
49,09:32:25,23.82,-0.03
50,09:32:28,23.82,0.0
51,09:32:31,23.83,0.01
52,09:32:33,23.83,0.0
53,09:32:37,23.83,0.0
54,09:32:45,23.91,0.08
55,09:32:48,23.86,-0.05
56,09:32:50,23.84,-0.02
57,09:32:55,23.84,0.0
58,09:32:58,23.86,0.02
59,09:33:00,23.85,-0.01
60,09:33:04,23.85,0.0
61,09:33:06,23.83,-0.02
62,09:33:10,23.83,0.0
63,09:33:13,23.83,0.0
64,09:33:16,23.83,0.0
65,09:33:18,23.82,-0.01
66,09:33:22,23.79,-0.03
67,09:33:25,23.75,-0.04
68,09:33:30,23.75,0.0
69,09:33:31,23.72,-0.03
70,09:33:35,23.72,0.0
71,09:33:37,23.71,-0.01
72,09:33:40,23.75,0.04
73,09:33:42,23.74,-0.01
74,09:33:46,23.73,-0.01
75,09:33:48,23.75,0.02
76,09:33:50,23.77,0.02
77,09:33:55,23.73,-0.04
78,09:34:01,23.75,0.02
79,09:34:05,23.77,0.02
80,09:34:07,23.75,-0.02
81,09:34:10,23.76,0.01
82,09:34:13,23.74,-0.02
83,09:34:15,23.77,0.03
84,09:34:22,23.74,-0.03
85,09:34:25,23.74,0.0
86,09:34:28,23.73,-0.01
87,09:34:31,23.72,-0.01
88,09:34:35,23.71,-0.01
89,09:34:37,23.7,-0.01
90,09:34:40,23.69,-0.01
91,09:34:43,23.68,-0.01
92,09:34:45,23.67,-0.01
93,09:34:50,23.66,-0.01
94,09:34:53,23.65,-0.01
95,09:34:55,23.66,0.01
96,09:34:58,23.65,-0.01
97,09:35:01,23.65,0.0
98,09:35:05,23.62,-0.03
99,09:35:07,23.64,0.02
100,09:35:10,23.63,-0.01
101,09:35:13,23.63,0.0
102,09:35:16,23.63,0.0
103,09:35:20,23.63,0.0
104,09:35:22,23.63,0.0
105,09:35:25,23.6,-0.03
106,09:35:28,23.59,-0.01
107,09:35:31,23.59,0.0
108,09:35:33,23.59,0.0
109,09:35:37,23.58,-0.01
110,09:35:40,23.6,0.02
111,09:35:43,23.6,0.0
112,09:35:46,23.57,-0.03
113,09:35:50,23.57,0.0
114,09:35:52,23.58,0.01
115,09:35:55,23.55,-0.03
116,09:35:58,23.57,0.02
117,09:36:01,23.57,0.0
118,09:36:05,23.55,-0.02
119,09:36:07,23.51,-0.04
120,09:36:10,23.52,0.01
121,09:36:14,23.54,0.02
122,09:36:15,23.53,-0.01
123,09:36:20,23.54,0.01
124,09:36:22,23.55,0.01
125,09:36:25,23.59,0.04
126,09:36:28,23.63,0.04
127,09:36:31,23.66,0.03
128,09:36:33,23.68,0.02
129,09:36:37,23.71,0.03
130,09:36:40,23.72,0.01
131,09:36:43,23.71,-0.01
132,09:36:45,23.76,0.05
133,09:36:50,23.75,-0.01
134,09:36:52,23.75,0.0
135,09:36:55,23.75,0.0
136,09:36:56,23.8,0.05
137,09:37:01,23.72,-0.08
138,09:37:05,23.72,0.0
139,09:37:07,23.71,-0.01
140,09:37:10,23.72,0.01
141,09:37:11,23.7,-0.02
142,09:37:15,23.7,0.0
143,09:37:20,23.68,-0.02
144,09:37:22,23.7,0.02
145,09:37:25,23.71,0.01
146,09:37:28,23.7,-0.01
147,09:37:31,23.73,0.03
148,09:37:33,23.77,0.04
149,09:37:37,23.78,0.01
150,09:37:40,23.78,0.0
151,09:37:43,23.74,-0.04
152,09:37:46,23.77,0.03
153,09:37:48,23.77,0.0
154,09:37:52,23.78,0.01
155,09:37:55,23.77,-0.01
156,09:37:58,23.77,0.0
157,09:38:01,23.78,0.01
158,09:38:03,23.77,-0.01
159,09:38:07,23.78,0.01
160,09:38:10,23.75,-0.03
161,09:38:13,23.78,0.03
162,09:38:20,23.76,-0.02
163,09:38:20,23.77,0.01
164,09:38:25,23.7,-0.07
165,09:38:28,23.8,0.1
166,09:38:31,23.76,-0.04
167,09:38:35,23.79,0.03
168,09:38:40,23.77,-0.02
169,09:38:43,23.79,0.02
170,09:38:46,23.81,0.02
171,09:38:49,23.85,0.04
172,09:38:52,23.85,0.0
173,09:38:55,23.81,-0.04
174,09:38:58,23.84,0.03
175,09:39:01,23.84,0.0
176,09:39:05,23.85,0.01
177,09:39:07,23.84,-0.01
178,09:39:11,23.84,0.0
179,09:39:13,23.86,0.02
180,09:39:17,23.83,-0.03
181,09:39:20,23.83,0.0
182,09:39:22,23.85,0.02
183,09:39:25,23.86,0.01
184,09:39:31,23.86,0.0
185,09:39:33,23.87,0.01
186,09:39:35,23.86,-0.01
187,09:39:41,23.86,0.0
188,09:39:43,23.85,-0.01
189,09:39:46,23.82,-0.03
190,09:39:50,23.82,0.0
191,09:39:50,23.81,-0.01
192,09:39:55,23.83,0.02
193,09:39:56,23.8,-0.03
194,09:40:03,23.79,-0.01
195,09:40:05,23.79,0.0
196,09:40:07,23.78,-0.01
197,09:40:11,23.78,0.0
198,09:40:13,23.8,0.02
199,09:40:15,23.77,-0.03
200,09:40:20,23.77,0.0
201,09:40:23,23.81,0.04
202,09:40:28,23.79,-0.02
203,09:40:35,23.8,0.01
204,09:40:37,23.81,0.01
205,09:40:40,23.81,0.0
206,09:40:41,23.79,-0.02
207,09:40:45,23.8,0.01
208,09:40:50,23.8,0.0
