"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年7月31日","1.799","1.835","1.862","1.781","112.25K","-1.64%"
"2020年7月30日","1.829","1.921","1.928","1.818","165.71K","-1.35%"
"2020年7月29日","1.854","1.796","1.893","1.769","4.06K","3.00%"
"2020年7月28日","1.800","1.731","1.803","1.719","32.53K","3.81%"
"2020年7月27日","1.734","1.796","1.800","1.714","37.48K","-4.09%"
"2020年7月24日","1.808","1.784","1.818","1.746","71.80K","1.29%"
"2020年7月23日","1.785","1.694","1.805","1.677","122.59K","6.19%"
"2020年7月22日","1.681","1.669","1.698","1.622","118.42K","0.36%"
"2020年7月21日","1.675","1.644","1.681","1.622","131.34K","2.07%"
"2020年7月20日","1.641","1.700","1.707","1.605","165.62K","-4.48%"
"2020年7月17日","1.718","1.726","1.750","1.690","110.72K","-0.29%"
"2020年7月16日","1.723","1.783","1.808","1.703","136.97K","-3.09%"
"2020年7月15日","1.778","1.743","1.792","1.728","93.86K","1.83%"
"2020年7月14日","1.746","1.729","1.771","1.708","138.35K","0.40%"
"2020年7月13日","1.739","1.785","1.815","1.725","158.85K","-3.66%"
"2020年7月10日","1.805","1.776","1.835","1.737","166.22K","1.46%"
"2020年7月9日","1.779","1.820","1.891","1.772","179.26K","-2.47%"
"2020年7月8日","1.824","1.879","1.886","1.808","187.55K","-2.77%"
"2020年7月7日","1.876","1.829","1.924","1.829","203.76K","2.51%"
"2020年7月6日","1.830","1.738","1.864","1.733","249.49K","4.81%"
"2020年7月3日","1.746","1.723","1.750","1.715","-","0.69%"
"2020年7月2日","1.734","1.693","1.738","1.672","142.22K","3.77%"
"2020年7月1日","1.671","1.754","1.758","1.655","173.54K","-4.57%"
