,time,price,change
0,09:25:02,36.0,0.64
1,09:30:02,36.02,0.02
2,09:30:08,36.02,0.0
3,09:30:09,36.09,0.07
4,09:30:11,36.09,0.0
5,09:30:13,36.16,0.07
6,09:30:16,36.18,0.02
7,09:30:19,36.15,-0.03
8,09:30:22,36.2,0.05
9,09:30:25,36.27,0.07
10,09:30:29,36.28,0.01
11,09:30:31,36.33,0.05
12,09:30:34,36.32,-0.01
13,09:30:37,36.36,0.04
14,09:30:40,36.34,-0.02
15,09:30:44,36.35,0.01
16,09:30:47,36.42,0.07
17,09:30:49,36.48,0.06
18,09:30:53,36.43,-0.05
19,09:30:55,36.5,0.07
20,09:30:58,36.5,0.0
21,09:31:01,36.45,-0.05
22,09:31:08,36.52,0.07
23,09:31:09,36.43,-0.09
24,09:31:11,36.43,0.0
25,09:31:13,36.43,0.0
26,09:31:16,36.42,-0.01
27,09:31:19,36.43,0.01
28,09:31:22,36.38,-0.05
29,09:31:25,36.43,0.05
30,09:31:28,36.42,-0.01
31,09:31:31,36.45,0.03
32,09:31:35,36.46,0.01
33,09:31:37,36.48,0.02
34,09:31:41,36.46,-0.02
35,09:31:43,36.48,0.02
36,09:31:46,36.45,-0.03
37,09:31:49,36.4,-0.05
38,09:31:52,36.41,0.01
39,09:31:55,36.38,-0.03
40,09:31:58,36.4,0.02
41,09:32:02,36.4,0.0
42,09:32:08,36.41,0.01
43,09:32:09,36.4,-0.01
44,09:32:11,36.38,-0.02
45,09:32:14,36.41,0.03
46,09:32:16,36.41,0.0
47,09:32:20,36.41,0.0
48,09:32:22,36.42,0.01
49,09:32:25,36.42,0.0
50,09:32:28,36.43,0.01
51,09:32:31,36.45,0.02
52,09:32:34,36.41,-0.04
53,09:32:37,36.47,0.06
54,09:32:40,36.41,-0.06
55,09:32:44,36.48,0.07
56,09:32:47,36.44,-0.04
57,09:32:49,36.46,0.02
58,09:32:52,36.42,-0.04
59,09:32:55,36.41,-0.01
60,09:32:58,36.45,0.04
61,09:33:02,36.41,-0.04
62,09:33:07,36.42,0.01
63,09:33:08,36.4,-0.02
64,09:33:11,36.4,0.0
65,09:33:13,36.4,0.0
66,09:33:16,36.38,-0.02
67,09:33:20,36.38,0.0
68,09:33:23,36.38,0.0
69,09:33:25,36.35,-0.03
70,09:33:28,36.4,0.05
71,09:33:31,36.4,0.0
72,09:33:34,36.39,-0.01
73,09:33:38,36.39,0.0
74,09:33:40,36.35,-0.04
75,09:33:44,36.38,0.03
76,09:33:46,36.35,-0.03
77,09:33:49,36.35,0.0
78,09:33:52,36.35,0.0
79,09:33:55,36.38,0.03
80,09:33:58,36.36,-0.02
81,09:34:01,36.35,-0.01
82,09:34:07,36.35,0.0
83,09:34:08,36.4,0.05
84,09:34:11,36.34,-0.06
85,09:34:13,36.36,0.02
86,09:34:16,36.31,-0.05
87,09:34:20,36.31,0.0
88,09:34:22,36.26,-0.05
89,09:34:25,36.3,0.04
90,09:34:27,36.26,-0.04
91,09:34:31,36.25,-0.01
92,09:34:35,36.27,0.02
93,09:34:37,36.34,0.07
94,09:34:40,36.31,-0.03
95,09:34:43,36.38,0.07
96,09:34:46,36.35,-0.03
97,09:34:50,36.35,0.0
98,09:34:52,36.35,0.0
99,09:34:56,36.35,0.0
100,09:34:58,36.35,0.0
101,09:35:02,36.35,0.0
102,09:35:07,36.34,-0.01
103,09:35:08,36.36,0.02
104,09:35:10,36.43,0.07
105,09:35:13,36.36,-0.07
106,09:35:16,36.35,-0.01
107,09:35:19,36.38,0.03
108,09:35:22,36.36,-0.02
109,09:35:25,36.34,-0.02
110,09:35:29,36.41,0.07
111,09:35:31,36.37,-0.04
112,09:35:35,36.37,0.0
113,09:35:37,36.38,0.01
114,09:35:41,36.38,0.0
115,09:35:43,36.4,0.02
116,09:35:46,36.43,0.03
117,09:35:49,36.44,0.01
118,09:35:52,36.41,-0.03
119,09:35:56,36.44,0.03
120,09:35:58,36.41,-0.03
121,09:36:02,36.42,0.01
122,09:36:06,36.4,-0.02
123,09:36:09,36.42,0.02
124,09:36:10,36.44,0.02
125,09:36:14,36.42,-0.02
126,09:36:16,36.42,0.0
127,09:36:20,36.4,-0.02
128,09:36:22,36.42,0.02
129,09:36:25,36.43,0.01
130,09:36:28,36.42,-0.01
131,09:36:31,36.44,0.02
132,09:36:34,36.42,-0.02
133,09:36:37,36.45,0.03
134,09:36:40,36.48,0.03
135,09:36:43,36.48,0.0
136,09:36:46,36.47,-0.01
137,09:36:48,36.48,0.01
138,09:36:53,36.48,0.0
139,09:36:55,36.49,0.01
140,09:36:58,36.4,-0.09
