,time,price,change
0,09:25:01,40.93,0.0
1,09:30:01,40.94,0.01
2,09:30:08,40.99,0.05
3,09:30:09,40.93,-0.06
4,09:30:12,40.96,0.03
5,09:30:13,40.93,-0.03
6,09:30:16,40.93,0.0
7,09:30:19,40.93,0.0
8,09:30:21,40.89,-0.04
9,09:30:26,40.77,-0.12
10,09:30:28,40.75,-0.02
11,09:30:31,40.77,0.02
12,09:30:34,40.75,-0.02
13,09:30:37,40.76,0.01
14,09:30:40,40.77,0.01
15,09:30:43,40.83,0.06
16,09:30:46,40.78,-0.05
17,09:30:49,40.81,0.03
18,09:30:53,40.83,0.02
19,09:30:55,40.83,0.0
20,09:30:58,40.86,0.03
21,09:31:01,40.83,-0.03
22,09:31:06,40.93,0.1
23,09:31:09,40.93,0.0
24,09:31:10,40.88,-0.05
25,09:31:14,40.97,0.09
26,09:31:16,41.0,0.03
27,09:31:19,41.01,0.01
28,09:31:22,41.1,0.09
29,09:31:25,41.08,-0.02
30,09:31:29,41.1,0.02
31,09:31:31,41.1,0.0
32,09:31:34,41.18,0.08
33,09:31:37,41.19,0.01
34,09:31:40,41.18,-0.01
35,09:31:43,41.21,0.03
36,09:31:46,41.18,-0.03
37,09:31:49,41.2,0.02
38,09:31:52,41.23,0.03
39,09:31:56,41.28,0.05
40,09:31:58,41.24,-0.04
41,09:32:01,41.28,0.04
42,09:32:07,41.26,-0.02
43,09:32:08,41.22,-0.04
44,09:32:10,41.24,0.02
45,09:32:13,41.27,0.03
46,09:32:16,41.23,-0.04
47,09:32:19,41.24,0.01
48,09:32:23,41.21,-0.03
49,09:32:25,41.28,0.07
50,09:32:28,41.3,0.02
51,09:32:31,41.28,-0.02
52,09:32:34,41.29,0.01
53,09:32:37,41.26,-0.03
54,09:32:40,41.24,-0.02
55,09:32:43,41.3,0.06
56,09:32:46,41.28,-0.02
57,09:32:49,41.26,-0.02
58,09:32:52,41.28,0.02
59,09:32:55,41.29,0.01
60,09:32:58,41.3,0.01
61,09:33:00,41.3,0.0
62,09:33:07,41.34,0.04
63,09:33:09,41.3,-0.04
64,09:33:11,41.3,0.0
65,09:33:13,41.33,0.03
66,09:33:16,41.32,-0.01
67,09:33:20,41.3,-0.02
68,09:33:22,41.33,0.03
69,09:33:26,41.3,-0.03
70,09:33:28,41.34,0.04
71,09:33:31,41.32,-0.02
72,09:33:34,41.33,0.01
73,09:33:37,41.32,-0.01
74,09:33:40,41.3,-0.02
75,09:33:43,41.3,0.0
76,09:33:46,41.31,0.01
77,09:33:49,41.33,0.02
78,09:33:52,41.33,0.0
79,09:33:55,41.33,0.0
80,09:33:59,41.33,0.0
81,09:34:01,41.35,0.02
82,09:34:07,41.39,0.04
83,09:34:08,41.39,0.0
84,09:34:11,41.38,-0.01
85,09:34:13,41.39,0.01
86,09:34:16,41.39,0.0
87,09:34:20,41.39,0.0
88,09:34:22,41.4,0.01
89,09:34:26,41.4,0.0
90,09:34:28,41.41,0.01
91,09:34:31,41.44,0.03
