"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年7月31日","93.321","92.775","93.525","92.510","28.57K","0.34%"
"2020年7月30日","93.009","93.305","93.640","92.890","26.95K","-0.45%"
"2020年7月29日","93.432","93.710","93.770","93.120","24.75K","-0.23%"
"2020年7月28日","93.647","93.490","93.965","93.450","23.58K","0.03%"
"2020年7月27日","93.615","94.345","94.375","93.420","23.56K","-0.81%"
"2020年7月24日","94.380","94.750","94.780","94.100","18.25K","-0.28%"
"2020年7月23日","94.649","94.955","95.150","94.540","17.88K","-0.30%"
"2020年7月22日","94.930","95.090","95.375","94.775","17.68K","-0.14%"
"2020年7月21日","95.060","95.700","95.870","94.980","24.68K","-0.74%"
"2020年7月20日","95.772","96.000","96.145","95.675","18.20K","-0.12%"
"2020年7月17日","95.889","96.260","96.295","95.845","11.60K","-0.45%"
"2020年7月16日","96.319","95.975","96.380","95.845","18.27K","0.29%"
"2020年7月15日","96.039","96.120","96.215","95.720","14.53K","-0.17%"
"2020年7月14日","96.207","96.520","96.670","96.125","12.97K","-0.21%"
"2020年7月13日","96.407","96.585","96.640","96.205","18.71K","-0.21%"
"2020年7月10日","96.614","96.745","96.960","96.395","16.73K","-0.06%"
"2020年7月9日","96.673","96.415","96.780","96.180","21.92K","0.32%"
"2020年7月8日","96.368","96.910","97.005","96.345","18.91K","-0.49%"
"2020年7月7日","96.839","96.700","97.105","96.555","16.29K","0.16%"
"2020年7月6日","96.682","97.190","97.190","96.500","20.09K","-0.64%"
"2020年7月3日","97.301","97.210","97.350","97.145","5.24K","0.00%"
"2020年7月2日","97.301","97.140","97.335","96.790","17.42K","0.15%"
"2020年7月1日","97.155","97.375","97.615","96.985","16.05K","-0.20%"
