,time,price,change
0,09:25:04,62.7,-1.0
1,09:30:00,63.0,0.3
2,09:30:04,62.68,-0.32
3,09:30:05,62.69,0.01
4,09:30:09,62.68,-0.01
5,09:30:11,62.7,0.02
6,09:30:14,63.0,0.3
7,09:30:21,63.0,0.0
8,09:30:24,62.98,-0.02
9,09:30:27,62.77,-0.21
10,09:30:29,62.71,-0.06
11,09:30:31,62.73,0.02
12,09:30:36,62.73,0.0
13,09:30:38,62.62,-0.11
14,09:30:42,62.6,-0.02
15,09:30:45,62.54,-0.06
16,09:30:46,62.52,-0.02
17,09:30:51,62.5,-0.02
18,09:30:54,62.43,-0.07
19,09:30:55,62.57,0.14
20,09:31:00,62.55,-0.02
21,09:31:03,62.57,0.02
22,09:31:06,62.57,0.0
23,09:31:09,62.56,-0.01
24,09:31:15,62.92,0.36
25,09:31:16,62.62,-0.3
26,09:31:21,62.9,0.28
27,09:31:23,62.9,0.0
28,09:31:30,62.89,-0.01
29,09:31:32,62.89,0.0
30,09:31:34,62.7,-0.19
31,09:31:38,62.69,-0.01
32,09:31:42,62.55,-0.14
33,09:31:44,62.42,-0.13
34,09:31:48,62.27,-0.15
35,09:31:51,62.18,-0.09
36,09:31:54,62.18,0.0
37,09:31:55,62.27,0.09
38,09:31:59,62.43,0.16
39,09:32:03,62.54,0.11
40,09:32:05,62.54,0.0
41,09:32:08,62.43,-0.11
42,09:32:12,62.55,0.12
43,09:32:15,62.56,0.01
44,09:32:19,62.56,0.0
45,09:32:21,62.61,0.05
46,09:32:24,62.6,-0.01
47,09:32:27,62.59,-0.01
48,09:32:29,62.6,0.01
49,09:32:33,62.59,-0.01
50,09:32:35,62.6,0.01
51,09:32:38,62.6,0.0
52,09:32:42,62.58,-0.02
53,09:32:44,62.73,0.15
54,09:32:48,62.82,0.09
55,09:32:51,62.61,-0.21
56,09:32:54,62.6,-0.01
57,09:32:55,62.53,-0.07
58,09:32:59,62.6,0.07
59,09:33:03,62.62,0.02
60,09:33:05,62.72,0.1
61,09:33:09,62.82,0.1
62,09:33:12,62.88,0.06
63,09:33:14,62.74,-0.14
64,09:33:21,62.9,0.16
65,09:33:23,62.9,0.0
66,09:33:27,62.99,0.09
67,09:33:29,62.98,-0.01
68,09:33:31,62.94,-0.04
69,09:33:36,62.88,-0.06
70,09:33:38,62.98,0.1
71,09:33:40,62.72,-0.26
72,09:33:45,62.89,0.17
73,09:33:48,62.88,-0.01
74,09:33:51,62.72,-0.16
75,09:33:54,62.87,0.15
76,09:33:57,62.89,0.02
77,09:34:00,62.82,-0.07
78,09:34:03,62.83,0.01
79,09:34:06,62.83,0.0
80,09:34:09,62.93,0.1
81,09:34:15,62.94,0.01
82,09:34:18,62.96,0.02
83,09:34:21,63.0,0.04
84,09:34:25,62.96,-0.04
85,09:34:30,62.96,0.0
86,09:34:33,62.97,0.01
87,09:34:36,62.97,0.0
88,09:34:38,63.24,0.27
89,09:34:45,62.96,-0.28
90,09:34:48,63.2,0.24
91,09:34:51,62.96,-0.24
92,09:34:53,62.97,0.01
93,09:35:00,63.18,0.21
94,09:35:03,63.16,-0.02
95,09:35:06,63.2,0.04
96,09:35:10,63.3,0.1
97,09:35:12,63.27,-0.03
98,09:35:18,63.27,0.0
99,09:35:20,63.37,0.1
100,09:35:24,63.3,-0.07
101,09:35:27,63.3,0.0
102,09:35:30,63.27,-0.03
103,09:35:33,63.2,-0.07
104,09:35:36,63.27,0.07
105,09:35:39,63.27,0.0
106,09:35:45,63.0,-0.27
107,09:35:46,63.25,0.25
108,09:35:51,63.25,0.0
109,09:35:53,63.04,-0.21
110,09:35:57,63.04,0.0
111,09:36:00,63.22,0.18
112,09:36:03,63.06,-0.16
113,09:36:06,63.06,0.0
114,09:36:08,63.22,0.16
115,09:36:10,63.21,-0.01
116,09:36:15,63.05,-0.16
117,09:36:19,63.05,0.0
118,09:36:20,63.18,0.13
119,09:36:23,63.05,-0.13
120,09:36:30,63.49,0.44
121,09:36:36,63.19,-0.3
122,09:36:39,63.18,-0.01
123,09:36:42,63.19,0.01
124,09:36:48,63.18,-0.01
125,09:36:51,63.33,0.15
126,09:36:53,63.21,-0.12
127,09:36:57,63.29,0.08
128,09:37:03,63.2,-0.09
129,09:37:06,63.26,0.06
130,09:37:09,63.26,0.0
131,09:37:10,63.23,-0.03
132,09:37:15,63.18,-0.05
133,09:37:19,63.28,0.1
134,09:37:19,63.29,0.01
135,09:37:23,63.33,0.04
136,09:37:27,63.41,0.08
