,time,price,change
0,09:25:01,30.49,0.14
1,09:30:02,30.49,0.0
2,09:30:08,30.48,-0.01
3,09:30:09,30.48,0.0
4,09:30:12,30.46,-0.02
5,09:30:13,30.49,0.03
6,09:30:17,30.48,-0.01
7,09:30:19,30.48,0.0
8,09:30:22,30.51,0.03
9,09:30:24,30.53,0.02
10,09:30:28,30.5,-0.03
11,09:30:31,30.5,0.0
12,09:30:34,30.54,0.04
13,09:30:37,30.49,-0.05
14,09:30:40,30.5,0.01
15,09:30:44,30.5,0.0
16,09:30:46,30.5,0.0
17,09:30:50,30.49,-0.01
18,09:30:53,30.51,0.02
19,09:30:55,30.5,-0.01
20,09:30:58,30.5,0.0
21,09:31:01,30.5,0.0
22,09:31:07,30.49,-0.01
23,09:31:08,30.5,0.01
24,09:31:11,30.49,-0.01
25,09:31:12,30.47,-0.02
26,09:31:17,30.5,0.03
27,09:31:20,30.49,-0.01
28,09:31:23,30.49,0.0
29,09:31:25,30.5,0.01
30,09:31:28,30.49,-0.01
31,09:31:31,30.49,0.0
32,09:31:34,30.48,-0.01
33,09:31:37,30.5,0.02
34,09:31:40,30.49,-0.01
35,09:31:43,30.48,-0.01
36,09:31:46,30.49,0.01
37,09:31:50,30.49,0.0
38,09:31:53,30.49,0.0
39,09:31:55,30.54,0.05
40,09:31:58,30.51,-0.03
41,09:32:02,30.51,0.0
42,09:32:08,30.53,0.02
43,09:32:09,30.55,0.02
44,09:32:10,30.52,-0.03
45,09:32:13,30.55,0.03
46,09:32:17,30.54,-0.01
47,09:32:19,30.54,0.0
48,09:32:22,30.56,0.02
49,09:32:25,30.56,0.0
50,09:32:28,30.56,0.0
51,09:32:31,30.58,0.02
52,09:32:33,30.62,0.04
53,09:32:37,30.61,-0.01
54,09:32:39,30.6,-0.01
55,09:32:44,30.65,0.05
56,09:32:46,30.61,-0.04
57,09:32:49,30.65,0.04
58,09:32:52,30.65,0.0
59,09:32:55,30.65,0.0
60,09:32:58,30.67,0.02
61,09:33:01,30.65,-0.02
62,09:33:06,30.67,0.02
63,09:33:08,30.67,0.0
64,09:33:11,30.68,0.01
65,09:33:13,30.69,0.01
66,09:33:16,30.7,0.01
67,09:33:19,30.76,0.06
68,09:33:23,30.71,-0.05
69,09:33:25,30.7,-0.01
70,09:33:28,30.7,0.0
71,09:33:31,30.75,0.05
72,09:33:34,30.75,0.0
73,09:33:37,30.71,-0.04
74,09:33:40,30.74,0.03
75,09:33:42,30.75,0.01
76,09:33:46,30.74,-0.01
77,09:33:48,30.74,0.0
78,09:33:51,30.75,0.01
79,09:33:54,30.74,-0.01
80,09:33:58,30.74,0.0
81,09:34:02,30.75,0.01
82,09:34:06,30.73,-0.02
83,09:34:08,30.74,0.01
84,09:34:10,30.73,-0.01
85,09:34:13,30.71,-0.02
86,09:34:16,30.72,0.01
87,09:34:19,30.75,0.03
88,09:34:21,30.75,0.0
89,09:34:25,30.74,-0.01
90,09:34:28,30.75,0.01
91,09:34:31,30.76,0.01
92,09:34:34,30.74,-0.02
93,09:34:38,30.74,0.0
94,09:34:41,30.73,-0.01
95,09:34:44,30.72,-0.01
96,09:34:46,30.73,0.01
97,09:34:49,30.72,-0.01
98,09:34:52,30.72,0.0
99,09:34:55,30.73,0.01
100,09:34:58,30.74,0.01
101,09:35:01,30.75,0.01
102,09:35:07,30.72,-0.03
103,09:35:09,30.72,0.0
104,09:35:10,30.72,0.0
105,09:35:13,30.72,0.0
106,09:35:16,30.7,-0.02
107,09:35:19,30.69,-0.01
108,09:35:23,30.68,-0.01
109,09:35:25,30.67,-0.01
110,09:35:28,30.67,0.0
111,09:35:31,30.67,0.0
112,09:35:34,30.65,-0.02
113,09:35:38,30.65,0.0
114,09:35:41,30.64,-0.01
115,09:35:43,30.65,0.01
116,09:35:46,30.64,-0.01
117,09:35:49,30.65,0.01
118,09:35:52,30.63,-0.02
119,09:35:55,30.65,0.02
120,09:35:58,30.62,-0.03
121,09:36:02,30.62,0.0
122,09:36:06,30.62,0.0
123,09:36:09,30.61,-0.01
124,09:36:10,30.64,0.03
125,09:36:13,30.62,-0.02
126,09:36:15,30.63,0.01
127,09:36:19,30.63,0.0
128,09:36:21,30.62,-0.01
129,09:36:25,30.64,0.02
130,09:36:28,30.62,-0.02
131,09:36:31,30.64,0.02
132,09:36:34,30.64,0.0
133,09:36:37,30.63,-0.01
134,09:36:40,30.64,0.01
135,09:36:44,30.65,0.01
136,09:36:46,30.64,-0.01
137,09:36:49,30.64,0.0
138,09:36:52,30.66,0.02
139,09:36:55,30.66,0.0
140,09:36:58,30.66,0.0
141,09:37:01,30.67,0.01
142,09:37:06,30.67,0.0
143,09:37:08,30.66,-0.01
144,09:37:10,30.68,0.02
145,09:37:13,30.7,0.02
146,09:37:16,30.68,-0.02
147,09:37:19,30.7,0.02
148,09:37:22,30.72,0.02
149,09:37:26,30.71,-0.01
150,09:37:28,30.7,-0.01
151,09:37:31,30.72,0.02
152,09:37:34,30.72,0.0
153,09:37:36,30.72,0.0
154,09:37:41,30.73,0.01
155,09:37:43,30.72,-0.01
156,09:37:46,30.72,0.0
157,09:37:50,30.73,0.01
158,09:37:52,30.73,0.0
159,09:37:55,30.74,0.01
160,09:37:58,30.75,0.01
161,09:38:01,30.75,0.0
162,09:38:07,30.75,0.0
163,09:38:09,30.75,0.0
164,09:38:10,30.75,0.0
165,09:38:14,30.75,0.0
166,09:38:16,30.75,0.0
167,09:38:19,30.76,0.01
168,09:38:23,30.75,-0.01
169,09:38:25,30.76,0.01
170,09:38:28,30.75,-0.01
171,09:38:31,30.76,0.01
172,09:38:33,30.77,0.01
173,09:38:37,30.77,0.0
174,09:38:39,30.75,-0.02
175,09:38:44,30.75,0.0
176,09:38:46,30.75,0.0
177,09:38:49,30.74,-0.01
178,09:38:52,30.75,0.01
179,09:38:55,30.75,0.0
180,09:38:58,30.75,0.0
181,09:39:01,30.75,0.0
182,09:39:07,30.75,0.0
183,09:39:08,30.75,0.0
184,09:39:10,30.74,-0.01
185,09:39:14,30.75,0.01
186,09:39:16,30.75,0.0
187,09:39:20,30.75,0.0
188,09:39:23,30.74,-0.01
189,09:39:25,30.75,0.01
190,09:39:29,30.73,-0.02
191,09:39:31,30.75,0.02
192,09:39:35,30.75,0.0
193,09:39:37,30.74,-0.01
194,09:39:40,30.74,0.0
195,09:39:43,30.74,0.0
196,09:39:46,30.75,0.01
197,09:39:49,30.75,0.0
198,09:39:52,30.76,0.01
199,09:39:55,30.76,0.0
200,09:39:59,30.76,0.0
201,09:40:01,30.76,0.0
202,09:40:07,30.75,-0.01
203,09:40:09,30.76,0.01
204,09:40:10,30.75,-0.01
205,09:40:13,30.74,-0.01
206,09:40:17,30.74,0.0
207,09:40:19,30.76,0.02
208,09:40:23,30.76,0.0
209,09:40:25,30.75,-0.01
210,09:40:28,30.75,0.0
211,09:40:31,30.75,0.0
212,09:40:34,30.73,-0.02
213,09:40:36,30.75,0.02
214,09:40:41,30.74,-0.01
215,09:40:44,30.73,-0.01
216,09:40:46,30.73,0.0
217,09:40:49,30.74,0.01
218,09:40:51,30.73,-0.01
219,09:40:56,30.75,0.02
220,09:40:58,30.73,-0.02
221,09:41:01,30.74,0.01
222,09:41:07,30.72,-0.02
223,09:41:08,30.72,0.0
224,09:41:10,30.74,0.02
225,09:41:13,30.73,-0.01
226,09:41:16,30.73,0.0
227,09:41:19,30.72,-0.01
228,09:41:22,30.71,-0.01
229,09:41:26,30.71,0.0
230,09:41:28,30.71,0.0
231,09:41:31,30.7,-0.01
232,09:41:35,30.72,0.02
233,09:41:37,30.72,0.0
234,09:41:40,30.72,0.0
235,09:41:43,30.72,0.0
236,09:41:46,30.72,0.0
237,09:41:49,30.72,0.0
238,09:41:52,30.72,0.0
239,09:41:55,30.75,0.03
240,09:41:58,30.75,0.0
241,09:42:02,30.75,0.0
242,09:42:07,30.74,-0.01
243,09:42:08,30.74,0.0
244,09:42:09,30.73,-0.01
245,09:42:14,30.75,0.02
246,09:42:17,30.75,0.0
247,09:42:19,30.75,0.0
248,09:42:22,30.75,0.0
249,09:42:25,30.76,0.01
250,09:42:28,30.78,0.02
251,09:42:31,30.8,0.02
252,09:42:34,30.83,0.03
253,09:42:38,30.83,0.0
254,09:42:40,30.83,0.0
255,09:42:42,30.85,0.02
256,09:42:46,30.87,0.02
257,09:42:48,30.88,0.01
258,09:42:53,30.88,0.0
259,09:42:55,30.89,0.01
260,09:42:58,30.9,0.01
261,09:43:01,30.89,-0.01
262,09:43:07,30.89,0.0
263,09:43:08,30.9,0.01
264,09:43:09,30.9,0.0
265,09:43:12,30.91,0.01
266,09:43:16,30.9,-0.01
267,09:43:19,30.92,0.02
268,09:43:21,30.91,-0.01
269,09:43:25,30.92,0.01
270,09:43:27,30.91,-0.01
