,time,price,change
0,09:25:04,410.0,0.0
1,09:30:03,415.0,5.0
2,09:30:06,411.55,-3.45
3,09:30:06,410.0,-1.55
4,09:30:12,412.98,2.98
5,09:30:15,412.99,0.01
6,09:30:15,413.0,0.01
7,09:30:20,412.99,-0.01
8,09:30:24,413.5,0.51
9,09:30:27,414.28,0.78
10,09:30:27,413.51,-0.77
11,09:30:33,414.27,0.76
12,09:30:36,414.27,0.0
13,09:30:36,411.5,-2.77
14,09:30:42,414.29,2.79
15,09:30:45,414.29,0.0
16,09:30:48,413.0,-1.29
17,09:30:51,412.5,-0.5
18,09:30:54,412.98,0.48
19,09:30:54,414.29,1.31
20,09:30:59,414.49,0.2
21,09:31:01,414.49,0.0
22,09:31:06,414.6,0.11
23,09:31:06,414.69,0.09
24,09:31:10,414.88,0.19
25,09:31:15,416.0,1.12
26,09:31:18,416.0,0.0
27,09:31:21,416.0,0.0
28,09:31:24,416.64,0.64
29,09:31:27,416.0,-0.64
30,09:31:28,416.0,0.0
31,09:31:31,416.0,0.0
32,09:31:36,414.88,-1.12
33,09:31:38,414.59,-0.29
34,09:31:40,414.88,0.29
35,09:31:48,415.99,1.11
36,09:31:53,415.8,-0.19
37,09:31:54,414.88,-0.92
38,09:31:59,415.78,0.9
39,09:32:01,414.88,-0.9
40,09:32:06,414.87,-0.01
41,09:32:09,413.12,-1.75
42,09:32:12,413.1,-0.02
43,09:32:15,414.84,1.74
44,09:32:15,414.0,-0.84
45,09:32:21,413.99,-0.01
46,09:32:24,413.06,-0.93
47,09:32:24,413.07,0.01
48,09:32:29,413.06,-0.01
49,09:32:32,413.03,-0.03
50,09:32:39,413.06,0.03
51,09:32:45,413.1,0.04
52,09:32:54,414.0,0.9
53,09:32:54,414.0,0.0
54,09:33:00,413.16,-0.84
55,09:33:01,413.25,0.09
56,09:33:10,414.8,1.55
57,09:33:15,414.84,0.04
58,09:33:15,415.8,0.96
59,09:33:19,415.8,0.0
60,09:33:24,416.0,0.2
61,09:33:27,416.62,0.62
62,09:33:30,415.9,-0.72
63,09:33:33,415.9,0.0
64,09:33:40,416.64,0.74
65,09:33:45,417.0,0.36
66,09:33:47,417.57,0.57
67,09:33:51,417.98,0.41
68,09:33:54,417.9,-0.08
69,09:33:57,416.99,-0.91
70,09:33:59,418.0,1.01
71,09:34:03,418.99,0.99
72,09:34:09,417.02,-1.97
73,09:34:12,417.99,0.97
74,09:34:14,418.97,0.98
75,09:34:18,418.99,0.02
76,09:34:19,418.99,0.0
77,09:34:27,418.99,0.0
78,09:34:29,418.98,-0.01
79,09:34:33,418.99,0.01
80,09:34:34,418.01,-0.98
81,09:34:39,418.99,0.98
82,09:34:45,418.0,-0.99
83,09:34:48,418.0,0.0
84,09:34:51,418.0,0.0
85,09:34:54,418.0,0.0
86,09:34:59,418.97,0.97
87,09:35:01,417.0,-1.97
88,09:35:06,417.01,0.01
89,09:35:06,417.99,0.98
90,09:35:10,417.0,-0.99
91,09:35:15,417.01,0.01
92,09:35:21,417.01,0.0
93,09:35:23,417.01,0.0
94,09:35:24,417.01,0.0
95,09:35:30,417.02,0.01
96,09:35:33,417.02,0.0
97,09:35:36,418.0,0.98
98,09:35:39,418.0,0.0
99,09:35:42,417.97,-0.03
100,09:35:45,418.0,0.03
101,09:35:49,417.12,-0.88
102,09:35:54,418.5,1.38
103,09:35:57,417.12,-1.38
104,09:35:59,418.0,0.88
105,09:36:02,418.0,0.0
106,09:36:06,418.0,0.0
107,09:36:09,418.0,0.0
108,09:36:10,417.12,-0.88
109,09:36:14,418.5,1.38
110,09:36:18,418.5,0.0
111,09:36:20,417.12,-1.38
112,09:36:21,418.5,1.38
113,09:36:27,418.5,0.0
114,09:36:30,417.02,-1.48
115,09:36:33,418.0,0.98
116,09:36:36,418.0,0.0
117,09:36:36,418.4,0.4
118,09:36:45,418.5,0.1
119,09:36:48,418.0,-0.5
120,09:36:51,418.0,0.0
121,09:36:54,418.0,0.0
122,09:36:54,417.01,-0.99
123,09:36:59,418.97,1.96
124,09:37:03,418.5,-0.47
125,09:37:04,417.05,-1.45
126,09:37:06,417.05,0.0
127,09:37:10,416.62,-0.43
128,09:37:15,415.99,-0.63
129,09:37:15,415.58,-0.41
130,09:37:21,415.5,-0.08
131,09:37:21,417.0,1.5
132,09:37:27,415.01,-1.99
133,09:37:29,417.0,1.99
134,09:37:31,415.6,-1.4
135,09:37:36,415.61,0.01
136,09:37:39,417.0,1.39
137,09:37:40,416.95,-0.05
138,09:37:44,418.0,1.05
139,09:37:48,418.2,0.2
140,09:37:51,418.49,0.29
141,09:37:51,418.02,-0.47
142,09:37:54,418.53,0.51
143,09:38:00,418.53,0.0
144,09:38:01,418.02,-0.51
145,09:38:06,418.0,-0.02
146,09:38:09,418.02,0.02
147,09:38:10,418.0,-0.02
148,09:38:15,418.95,0.95
149,09:38:15,418.0,-0.95
150,09:38:21,418.0,0.0
151,09:38:27,418.02,0.02
152,09:38:30,416.0,-2.02
153,09:38:31,418.98,2.98
154,09:38:39,418.02,-0.96
155,09:38:42,418.78,0.76
156,09:38:44,416.0,-2.78
157,09:38:45,415.93,-0.07
158,09:38:50,416.0,0.07
159,09:38:54,416.0,0.0
160,09:38:54,416.0,0.0
161,09:38:59,418.96,2.96
162,09:39:01,418.96,0.0
163,09:39:06,418.02,-0.94
164,09:39:12,417.02,-1.0
165,09:39:18,417.39,0.37
166,09:39:24,417.5,0.11
167,09:39:33,418.49,0.99
168,09:39:36,418.74,0.25
169,09:39:42,417.5,-1.24
170,09:39:50,417.5,0.0
171,09:39:53,417.51,0.01
172,09:40:00,417.5,-0.01
173,09:40:03,417.5,0.0
174,09:40:05,417.58,0.08
175,09:40:10,417.58,0.0
176,09:40:15,417.58,0.0
177,09:40:21,418.0,0.42
178,09:40:29,417.99,-0.01
179,09:40:32,417.58,-0.41
180,09:40:39,417.76,0.18
181,09:40:42,417.76,0.0
182,09:40:44,418.5,0.74
183,09:40:50,418.5,0.0
184,09:40:57,418.8,0.3
185,09:41:00,418.5,-0.3
186,09:41:06,418.5,0.0
187,09:41:09,418.5,0.0
188,09:41:12,419.0,0.5
189,09:41:18,419.0,0.0
190,09:41:21,418.5,-0.5
191,09:41:24,419.0,0.5
192,09:41:27,419.0,0.0
193,09:41:30,418.5,-0.5
194,09:41:36,419.0,0.5
195,09:41:36,419.0,0.0
196,09:41:45,419.0,0.0
197,09:41:45,418.2,-0.8
198,09:41:51,418.0,-0.2
199,09:41:54,418.0,0.0
200,09:41:54,418.0,0.0
201,09:42:00,418.0,0.0
202,09:42:01,418.0,0.0
203,09:42:06,418.0,0.0
204,09:42:12,417.51,-0.49
205,09:42:15,417.53,0.02
206,09:42:24,417.96,0.43
207,09:42:30,417.53,-0.43
208,09:42:36,417.53,0.0
209,09:42:39,417.55,0.02
210,09:42:44,417.55,0.0
211,09:42:51,417.51,-0.04
212,09:42:54,417.51,0.0
213,09:42:54,417.51,0.0
214,09:43:00,417.55,0.04
215,09:43:06,418.0,0.45
216,09:43:09,418.0,0.0
217,09:43:18,418.0,0.0
218,09:43:24,418.9,0.9
219,09:43:30,418.01,-0.89
220,09:43:36,418.01,0.0
221,09:43:39,418.01,0.0
222,09:43:45,418.0,-0.01
223,09:43:47,418.01,0.01
224,09:43:54,418.0,-0.01
225,09:43:57,418.01,0.01
226,09:44:06,418.78,0.77
227,09:44:08,418.8,0.02
228,09:44:12,417.53,-1.27
229,09:44:15,417.53,0.0
230,09:44:18,417.53,0.0
231,09:44:24,417.53,0.0
232,09:44:30,417.53,0.0
233,09:44:33,418.0,0.47
234,09:44:36,418.0,0.0
235,09:44:45,417.99,-0.01
236,09:44:54,417.53,-0.46
237,09:44:57,416.86,-0.67
238,09:45:00,416.08,-0.78
239,09:45:02,416.02,-0.06
240,09:45:05,416.0,-0.02
241,09:45:09,416.0,0.0
242,09:45:12,415.91,-0.09
243,09:45:15,416.0,0.09
244,09:45:15,415.91,-0.09
245,09:45:21,415.89,-0.02
246,09:45:24,415.89,0.0
247,09:45:24,415.98,0.09
248,09:45:29,416.0,0.02
249,09:45:33,415.01,-0.99
250,09:45:38,415.0,-0.01
251,09:45:41,415.89,0.89
252,09:45:45,415.0,-0.89
253,09:45:51,415.0,0.0
254,09:45:53,415.0,0.0
255,09:45:57,415.0,0.0
256,09:45:59,415.0,0.0
257,09:46:03,415.0,0.0
258,09:46:11,413.08,-1.92
259,09:46:15,413.06,-0.02
260,09:46:21,413.03,-0.03
261,09:46:24,413.03,0.0
262,09:46:29,413.0,-0.03
263,09:46:30,411.02,-1.98
264,09:46:36,410.58,-0.44
265,09:46:39,410.58,0.0
266,09:46:42,410.0,-0.58
267,09:46:54,409.6,-0.4
268,09:46:54,409.59,-0.01
269,09:47:06,409.0,-0.59
270,09:47:09,409.0,0.0
271,09:47:12,409.01,0.01
272,09:47:14,409.0,-0.01
273,09:47:24,408.9,-0.1
274,09:47:24,408.9,0.0
275,09:47:30,408.9,0.0
276,09:47:33,408.14,-0.76
277,09:47:39,409.0,0.86
278,09:47:41,408.15,-0.85
279,09:47:45,409.0,0.85
280,09:47:48,408.61,-0.39
281,09:47:54,408.61,0.0
282,09:48:06,408.0,-0.61
283,09:48:09,409.25,1.25
284,09:48:12,408.6,-0.65
285,09:48:14,408.6,0.0
286,09:48:27,408.23,-0.37
287,09:48:29,408.0,-0.23
288,09:48:33,408.0,0.0
289,09:48:35,408.0,0.0
290,09:48:42,407.88,-0.12
291,09:48:45,407.86,-0.02
292,09:48:53,407.07,-0.79
293,09:48:57,408.0,0.93
294,09:49:05,408.0,0.0
295,09:49:10,408.0,0.0
296,09:49:14,408.0,0.0
297,09:49:15,408.0,0.0
298,09:49:21,408.0,0.0
299,09:49:23,407.89,-0.11
300,09:49:24,408.0,0.11
301,09:49:32,408.0,0.0
302,09:49:36,408.61,0.61
303,09:49:38,408.0,-0.61
304,09:49:42,408.0,0.0
305,09:49:44,408.0,0.0
306,09:49:51,407.89,-0.11
307,09:49:54,407.89,0.0
308,09:50:02,407.33,-0.56
309,09:50:06,407.89,0.56
310,09:50:11,407.5,-0.39
311,09:50:15,408.09,0.59
312,09:50:18,409.0,0.91
313,09:50:24,410.0,1.0
314,09:50:29,411.04,1.04
315,09:50:36,412.99,1.95
316,09:50:42,412.99,0.0
317,09:50:48,410.0,-2.99
318,09:50:59,411.0,1.0
319,09:51:03,412.0,1.0
320,09:51:08,411.0,-1.0
321,09:51:11,412.0,1.0
322,09:51:18,412.99,0.99
323,09:51:21,410.0,-2.99
324,09:51:24,410.0,0.0
325,09:51:24,412.88,2.88
326,09:51:30,412.9,0.02
327,09:51:38,411.0,-1.9
328,09:51:44,411.0,0.0
329,09:51:51,411.0,0.0
330,09:51:53,410.0,-1.0
331,09:51:55,410.0,0.0
332,09:51:59,410.0,0.0
333,09:52:06,410.0,0.0
334,09:52:09,410.0,0.0
335,09:52:14,411.0,1.0
336,09:52:17,410.0,-1.0
337,09:52:20,410.35,0.35
338,09:52:33,411.0,0.65
339,09:52:36,410.36,-0.64
340,09:52:37,411.0,0.64
341,09:52:42,411.0,0.0
342,09:52:48,411.0,0.0
343,09:52:51,411.0,0.0
344,09:53:02,412.99,1.99
345,09:53:06,413.0,0.01
346,09:53:09,413.0,0.0
347,09:53:11,413.06,0.06
348,09:53:15,413.01,-0.05
349,09:53:24,414.85,1.84
350,09:53:25,414.8,-0.05
351,09:53:33,413.5,-1.3
352,09:53:36,413.5,0.0
353,09:53:45,413.9,0.4
354,09:53:51,414.0,0.1
355,09:53:57,413.5,-0.5
356,09:53:59,413.9,0.4
357,09:54:06,414.0,0.1
358,09:54:14,413.5,-0.5
359,09:54:16,413.5,0.0
360,09:54:28,413.5,0.0
361,09:54:40,412.02,-1.48
362,09:54:45,413.48,1.46
363,09:54:54,413.48,0.0
364,09:55:03,411.54,-1.94
365,09:55:15,412.0,0.46
366,09:55:16,412.0,0.0
367,09:55:27,411.0,-1.0
368,09:55:30,410.01,-0.99
369,09:55:32,410.01,0.0
370,09:55:42,410.01,0.0
371,09:55:48,410.02,0.01
372,09:55:50,410.02,0.0
373,09:55:54,410.02,0.0
374,09:56:06,410.2,0.18
375,09:56:29,410.99,0.79
376,09:56:45,410.99,0.0
377,09:56:54,411.0,0.01
378,09:57:12,411.0,0.0
379,09:57:21,411.0,0.0
380,09:57:36,411.0,0.0
381,09:57:39,411.0,0.0
382,09:57:42,410.02,-0.98
383,09:57:46,410.02,0.0
384,09:57:50,411.0,0.98
385,09:58:05,411.0,0.0
386,09:58:12,410.02,-0.98
387,09:58:15,411.0,0.98
388,09:58:20,411.0,0.0
389,09:58:23,411.0,0.0
390,09:58:27,411.0,0.0
391,09:58:40,410.02,-0.98
392,09:58:51,410.02,0.0
393,09:58:55,410.0,-0.02
394,09:59:00,410.02,0.02
395,09:59:02,411.0,0.98
396,09:59:06,410.02,-0.98
397,09:59:12,410.02,0.0
398,09:59:15,410.02,0.0
399,09:59:17,410.0,-0.02
400,09:59:21,411.0,1.0
401,09:59:42,411.0,0.0
402,09:59:50,411.0,0.0
403,09:59:57,410.36,-0.64
404,10:00:00,410.2,-0.16
405,10:00:03,411.0,0.8
406,10:00:06,411.0,0.0
407,10:00:09,411.0,0.0
408,10:00:14,412.0,1.0
409,10:00:25,412.0,0.0
410,10:00:29,412.0,0.0
411,10:00:33,413.4,1.4
412,10:00:42,411.09,-2.31
413,10:00:45,412.0,0.91
414,10:00:51,412.0,0.0
415,10:00:57,412.0,0.0
416,10:00:59,412.0,0.0
417,10:01:08,412.0,0.0
418,10:01:12,411.0,-1.0
419,10:01:14,412.0,1.0
420,10:01:18,411.0,-1.0
421,10:01:24,410.42,-0.58
422,10:01:27,410.95,0.53
423,10:01:36,410.03,-0.92
424,10:01:39,410.02,-0.01
425,10:01:42,410.03,0.01
426,10:01:57,410.02,-0.01
427,10:02:08,410.03,0.01
428,10:02:12,410.02,-0.01
429,10:02:25,410.02,0.0
430,10:02:29,410.02,0.0
431,10:02:33,410.0,-0.02
432,10:02:35,410.0,0.0
433,10:02:50,410.0,0.0
434,10:02:57,409.01,-0.99
435,10:03:00,409.03,0.02
436,10:03:02,409.01,-0.02
437,10:03:12,409.03,0.02
438,10:03:16,409.0,-0.03
439,10:03:20,409.01,0.01
440,10:03:27,409.03,0.02
441,10:03:34,409.03,0.0
442,10:03:42,409.03,0.0
443,10:03:48,409.03,0.0
444,10:04:00,409.87,0.84
445,10:04:02,409.04,-0.83
446,10:04:09,409.2,0.16
447,10:04:12,409.01,-0.19
448,10:04:16,409.03,0.02
449,10:04:36,409.0,-0.03
450,10:04:41,409.0,0.0
451,10:04:45,409.0,0.0
452,10:04:46,409.0,0.0
453,10:04:52,408.98,-0.02
454,10:04:53,408.22,-0.76
455,10:04:55,408.22,0.0
456,10:05:00,408.0,-0.22
457,10:05:04,408.22,0.22
458,10:05:06,408.0,-0.22
459,10:05:09,408.0,0.0
460,10:05:12,407.89,-0.11
461,10:05:15,407.89,0.0
462,10:05:18,407.5,-0.39
463,10:05:21,407.4,-0.1
464,10:05:24,407.33,-0.07
465,10:05:27,407.33,0.0
466,10:05:30,407.4,0.07
467,10:05:33,407.33,-0.07
468,10:05:36,407.34,0.01
469,10:05:39,407.18,-0.16
470,10:05:42,407.33,0.15
471,10:05:48,407.18,-0.15
472,10:05:51,407.34,0.16
473,10:05:57,407.18,-0.16
474,10:06:02,407.34,0.16
475,10:06:08,407.4,0.06
476,10:06:12,407.4,0.0
477,10:06:20,407.27,-0.13
478,10:06:23,407.4,0.13
479,10:06:27,407.4,0.0
480,10:06:39,407.34,-0.06
481,10:06:42,407.4,0.06
482,10:06:45,407.4,0.0
483,10:06:48,407.4,0.0
484,10:07:09,407.77,0.37
485,10:07:11,407.5,-0.27
486,10:07:23,407.7,0.2
487,10:07:25,407.5,-0.2
488,10:07:30,407.5,0.0
489,10:07:35,407.77,0.27
490,10:07:38,407.5,-0.27
491,10:07:40,407.5,0.0
492,10:07:45,407.77,0.27
493,10:07:48,407.77,0.0
494,10:07:53,407.77,0.0
495,10:07:55,407.5,-0.27
496,10:08:15,410.0,2.5
497,10:08:27,410.01,0.01
498,10:08:38,410.03,0.02
499,10:08:42,410.01,-0.02
500,10:08:50,412.02,2.01
501,10:09:00,410.5,-1.52
502,10:09:03,412.0,1.5
503,10:09:09,413.88,1.88
504,10:09:10,410.5,-3.38
505,10:09:20,410.02,-0.48
506,10:09:25,410.01,-0.01
507,10:09:51,411.0,0.99
508,10:09:54,413.0,2.0
509,10:09:55,410.03,-2.97
510,10:10:30,410.03,0.0
511,10:10:48,413.0,2.97
512,10:10:50,413.0,0.0
513,10:10:54,413.0,0.0
514,10:10:55,413.0,0.0
515,10:11:06,413.52,0.52
516,10:11:12,413.0,-0.52
517,10:11:21,413.0,0.0
518,10:11:24,413.0,0.0
519,10:11:30,412.99,-0.01
520,10:11:39,411.0,-1.99
521,10:11:45,413.0,2.0
522,10:12:05,413.0,0.0
523,10:12:21,411.01,-1.99
524,10:12:42,412.98,1.97
525,10:12:55,411.0,-1.98
526,10:13:08,410.5,-0.5
527,10:13:21,410.11,-0.39
528,10:13:24,411.0,0.89
529,10:13:35,411.02,0.02
530,10:13:39,411.02,0.0
531,10:13:53,412.88,1.86
532,10:13:57,412.89,0.01
533,10:13:59,412.89,0.0
534,10:14:03,412.88,-0.01
535,10:14:05,413.0,0.12
536,10:14:30,413.0,0.0
537,10:14:32,413.0,0.0
538,10:14:42,413.0,0.0
539,10:14:48,413.0,0.0
540,10:14:55,412.88,-0.12
541,10:15:12,412.0,-0.88
542,10:15:29,412.0,0.0
543,10:15:38,411.8,-0.2
544,10:15:45,411.8,0.0
545,10:15:47,412.0,0.2
546,10:16:00,412.01,0.01
547,10:16:03,412.01,0.0
548,10:16:12,412.0,-0.01
549,10:16:23,412.02,0.02
550,10:16:34,411.8,-0.22
551,10:16:48,411.81,0.01
552,10:16:50,411.81,0.0
553,10:16:53,411.81,0.0
554,10:17:06,411.8,-0.01
555,10:17:21,411.0,-0.8
556,10:17:27,411.0,0.0
557,10:17:47,410.21,-0.79
558,10:17:54,410.21,0.0
559,10:18:00,410.11,-0.1
560,10:18:08,410.11,0.0
561,10:18:12,410.11,0.0
562,10:18:38,410.11,0.0
563,10:18:45,410.2,0.09
564,10:18:47,410.11,-0.09
565,10:19:15,410.21,0.1
566,10:19:17,410.06,-0.15
567,10:19:21,410.05,-0.01
568,10:19:32,410.05,0.0
569,10:19:36,410.06,0.01
570,10:19:38,410.06,0.0
571,10:19:42,410.06,0.0
572,10:19:45,410.05,-0.01
573,10:19:47,410.03,-0.02
574,10:19:49,410.03,0.0
575,10:19:57,410.11,0.08
576,10:20:06,410.11,0.0
577,10:20:09,411.0,0.89
578,10:20:17,411.0,0.0
579,10:20:36,411.0,0.0
580,10:21:03,412.12,1.12
581,10:21:41,412.01,-0.11
582,10:21:59,412.01,0.0
583,10:22:14,412.02,0.01
584,10:22:17,412.99,0.97
585,10:22:24,412.03,-0.96
586,10:22:33,412.02,-0.01
587,10:22:41,412.11,0.09
588,10:22:59,413.68,1.57
589,10:23:08,413.88,0.2
590,10:23:14,414.0,0.12
591,10:23:20,414.99,0.99
592,10:23:24,414.01,-0.98
593,10:23:39,415.0,0.99
594,10:23:44,415.0,0.0
595,10:24:06,415.0,0.0
596,10:24:09,416.0,1.0
597,10:24:14,416.02,0.02
598,10:24:17,416.01,-0.01
599,10:24:20,417.53,1.52
600,10:24:33,416.0,-1.53
601,10:24:38,418.0,2.0
602,10:24:42,417.98,-0.02
603,10:24:45,416.0,-1.98
604,10:24:54,416.0,0.0
605,10:25:00,415.0,-1.0
606,10:25:06,415.01,0.01
607,10:25:08,416.0,0.99
608,10:25:16,418.0,2.0
609,10:25:20,416.0,-2.0
610,10:25:24,416.0,0.0
611,10:25:27,415.01,-0.99
612,10:25:32,417.45,2.44
613,10:25:35,415.01,-2.44
614,10:25:41,415.02,0.01
615,10:25:46,417.0,1.98
616,10:25:50,417.0,0.0
617,10:25:57,417.53,0.53
618,10:26:00,417.53,0.0
619,10:26:02,417.0,-0.53
620,10:26:09,417.0,0.0
621,10:26:13,417.9,0.9
622,10:26:17,417.06,-0.84
623,10:26:20,417.06,0.0
624,10:26:24,417.06,0.0
625,10:26:29,417.06,0.0
626,10:26:39,417.06,0.0
627,10:26:43,417.0,-0.06
628,10:26:50,415.08,-1.92
629,10:26:53,415.08,0.0
630,10:26:58,415.1,0.02
631,10:27:04,415.1,0.0
632,10:27:12,415.11,0.01
633,10:27:17,416.99,1.88
634,10:27:19,415.08,-1.91
635,10:27:27,415.11,0.03
636,10:27:30,417.0,1.89
637,10:27:31,416.99,-0.01
638,10:27:41,415.1,-1.89
639,10:27:47,415.11,0.01
640,10:27:51,416.99,1.88
641,10:27:52,415.11,-1.88
642,10:27:56,416.99,1.88
643,10:28:53,416.0,-0.99
644,10:29:02,416.0,0.0
645,10:29:20,415.1,-0.9
646,10:29:24,416.0,0.9
647,10:29:37,416.0,0.0
648,10:29:44,415.1,-0.9
649,10:29:54,415.1,0.0
650,10:29:56,415.1,0.0
651,10:29:58,415.1,0.0
652,10:30:17,415.1,0.0
653,10:30:27,415.1,0.0
654,10:30:30,416.0,0.9
655,10:30:38,415.1,-0.9
656,10:30:44,415.06,-0.04
657,10:31:05,415.06,0.0
658,10:31:18,415.06,0.0
659,10:31:20,415.06,0.0
660,10:31:25,415.01,-0.05
661,10:31:35,415.0,-0.01
662,10:31:45,415.06,0.06
663,10:31:46,415.0,-0.06
664,10:31:54,415.0,0.0
665,10:31:57,415.0,0.0
666,10:31:59,416.0,1.0
667,10:32:07,415.5,-0.5
668,10:32:22,415.0,-0.5
669,10:32:41,415.5,0.5
670,10:32:53,416.0,0.5
671,10:33:29,415.5,-0.5
672,10:33:41,415.02,-0.48
673,10:33:55,415.01,-0.01
674,10:34:02,415.0,-0.01
675,10:34:05,415.0,0.0
676,10:34:08,415.0,0.0
677,10:34:11,415.0,0.0
678,10:34:13,415.0,0.0
679,10:34:22,415.5,0.5
680,10:34:29,415.5,0.0
681,10:34:32,415.0,-0.5
682,10:34:35,416.0,1.0
683,10:34:44,416.0,0.0
684,10:35:13,416.0,0.0
685,10:35:16,416.0,0.0
686,10:35:23,416.0,0.0
687,10:35:28,416.0,0.0
688,10:35:49,415.5,-0.5
689,10:35:53,415.5,0.0
690,10:36:05,415.5,0.0
691,10:36:11,415.5,0.0
692,10:36:17,415.3,-0.2
693,10:36:20,415.0,-0.3
694,10:36:29,415.0,0.0
695,10:36:38,415.0,0.0
696,10:36:43,415.0,0.0
697,10:36:55,415.0,0.0
698,10:37:01,415.0,0.0
699,10:37:05,415.0,0.0
700,10:37:20,414.01,-0.99
701,10:37:23,414.0,-0.01
702,10:37:30,414.98,0.98
703,10:37:32,414.0,-0.98
704,10:37:36,414.0,0.0
705,10:37:41,414.0,0.0
706,10:37:46,414.0,0.0
707,10:38:14,414.01,0.01
708,10:38:20,414.9,0.89
709,10:38:23,414.01,-0.89
710,10:38:26,414.0,-0.01
711,10:38:35,414.0,0.0
712,10:38:40,414.0,0.0
713,10:38:47,414.0,0.0
714,10:38:50,414.0,0.0
715,10:38:54,414.0,0.0
716,10:38:56,414.01,0.01
717,10:39:00,414.01,0.0
718,10:39:05,414.01,0.0
719,10:39:17,414.8,0.79
