,time,price,change
0,09:25:05,61.31,0.38
1,09:30:03,61.6,0.29
2,09:30:06,61.88,0.28
3,09:30:10,61.65,-0.23
4,09:30:12,61.6,-0.05
5,09:30:15,61.6,0.0
6,09:30:18,61.64,0.04
7,09:30:20,61.56,-0.08
8,09:30:24,61.56,0.0
9,09:30:27,61.56,0.0
10,09:30:30,61.56,0.0
11,09:30:33,61.51,-0.05
12,09:30:36,61.5,-0.01
13,09:30:39,61.32,-0.18
14,09:30:42,61.31,-0.01
15,09:30:45,61.31,0.0
16,09:30:48,61.31,0.0
17,09:30:51,61.31,0.0
18,09:30:54,61.33,0.02
19,09:30:57,61.48,0.15
20,09:30:59,61.48,0.0
21,09:31:03,61.54,0.06
22,09:31:06,61.47,-0.07
23,09:31:09,61.38,-0.09
24,09:31:10,61.46,0.08
25,09:31:19,61.57,0.11
26,09:31:21,61.57,0.0
27,09:31:24,61.56,-0.01
28,09:31:27,61.59,0.03
29,09:31:30,61.6,0.01
30,09:31:34,61.6,0.0
31,09:31:36,61.64,0.04
32,09:31:40,61.65,0.01
33,09:31:42,61.79,0.14
34,09:31:45,61.65,-0.14
35,09:31:48,61.8,0.15
36,09:31:51,61.66,-0.14
37,09:31:54,61.75,0.09
38,09:32:00,61.75,0.0
39,09:32:03,61.76,0.01
40,09:32:06,61.66,-0.1
41,09:32:09,61.76,0.1
42,09:32:12,61.75,-0.01
43,09:32:15,61.66,-0.09
44,09:32:19,61.66,0.0
45,09:32:21,61.66,0.0
46,09:32:24,61.66,0.0
47,09:32:27,61.67,0.01
48,09:32:30,61.67,0.0
49,09:32:32,61.65,-0.02
50,09:32:36,61.61,-0.04
51,09:32:39,61.63,0.02
52,09:32:45,61.58,-0.05
53,09:32:48,61.6,0.02
54,09:32:51,61.56,-0.04
55,09:32:54,61.6,0.04
56,09:32:54,61.6,0.0
57,09:33:00,61.5,-0.1
58,09:33:03,61.42,-0.08
59,09:33:06,61.5,0.08
60,09:33:12,61.59,0.09
61,09:33:15,61.51,-0.08
62,09:33:15,61.5,-0.01
63,09:33:21,61.51,0.01
64,09:33:24,61.54,0.03
65,09:33:27,61.54,0.0
66,09:33:30,61.53,-0.01
67,09:33:33,61.41,-0.12
68,09:33:36,61.5,0.09
69,09:33:36,61.22,-0.28
70,09:33:42,61.5,0.28
71,09:33:45,61.5,0.0
72,09:33:49,61.24,-0.26
73,09:33:51,61.24,0.0
74,09:33:54,61.5,0.26
75,09:33:57,61.24,-0.26
76,09:34:00,61.27,0.03
77,09:34:04,61.27,0.0
78,09:34:06,61.26,-0.01
79,09:34:09,61.26,0.0
80,09:34:12,61.27,0.01
81,09:34:15,61.44,0.17
82,09:34:18,61.29,-0.15
83,09:34:21,61.46,0.17
84,09:34:24,61.41,-0.05
85,09:34:27,61.41,0.0
86,09:34:29,61.49,0.08
87,09:34:33,61.32,-0.17
88,09:34:36,61.32,0.0
89,09:34:39,61.46,0.14
90,09:34:42,61.33,-0.13
91,09:34:45,61.46,0.13
92,09:34:48,61.33,-0.13
93,09:34:51,61.33,0.0
94,09:34:54,61.33,0.0
95,09:34:57,61.33,0.0
96,09:35:00,61.27,-0.06
97,09:35:04,61.27,0.0
98,09:35:06,61.26,-0.01
99,09:35:09,61.21,-0.05
100,09:35:10,61.27,0.06
101,09:35:15,61.32,0.05
102,09:35:18,61.27,-0.05
103,09:35:21,61.27,0.0
104,09:35:27,61.27,0.0
105,09:35:30,61.32,0.05
106,09:35:33,61.32,0.0
107,09:35:36,61.4,0.08
108,09:35:39,61.32,-0.08
109,09:35:42,61.22,-0.1
110,09:35:45,61.32,0.1
111,09:35:49,61.4,0.08
112,09:35:49,61.33,-0.07
113,09:35:54,61.32,-0.01
114,09:36:00,61.32,0.0
115,09:36:04,61.4,0.08
116,09:36:06,61.4,0.0
117,09:36:09,61.4,0.0
118,09:36:12,61.4,0.0
119,09:36:14,61.2,-0.2
120,09:36:18,61.4,0.2
121,09:36:21,61.41,0.01
122,09:36:24,61.21,-0.2
123,09:36:30,61.49,0.28
124,09:36:34,61.4,-0.09
125,09:36:36,61.49,0.09
126,09:36:40,61.24,-0.25
127,09:36:42,61.24,0.0
128,09:36:45,61.5,0.26
129,09:36:48,61.5,0.0
130,09:36:51,61.5,0.0
131,09:36:54,61.4,-0.1
132,09:36:57,61.5,0.1
133,09:37:00,61.5,0.0
134,09:37:03,61.59,0.09
135,09:37:04,61.5,-0.09
136,09:37:09,61.59,0.09
137,09:37:10,61.6,0.01
138,09:37:15,61.59,-0.01
139,09:37:15,61.6,0.01
140,09:37:21,61.76,0.16
141,09:37:24,61.77,0.01
142,09:37:27,61.6,-0.17
143,09:37:30,61.78,0.18
144,09:37:31,61.75,-0.03
145,09:37:36,61.75,0.0
146,09:37:39,61.75,0.0
147,09:37:40,61.78,0.03
148,09:37:44,61.9,0.12
149,09:37:48,61.9,0.0
150,09:37:51,61.95,0.05
151,09:37:54,61.95,0.0
152,09:37:57,61.95,0.0
153,09:38:00,61.99,0.04
154,09:38:04,61.97,-0.02
155,09:38:06,61.98,0.01
156,09:38:09,61.99,0.01
157,09:38:10,61.99,0.0
158,09:38:15,61.99,0.0
159,09:38:18,61.99,0.0
160,09:38:24,61.99,0.0
161,09:38:27,61.99,0.0
162,09:38:30,62.11,0.12
163,09:38:33,62.18,0.07
164,09:38:35,62.12,-0.06
165,09:38:39,62.18,0.06
166,09:38:42,62.25,0.07
167,09:38:44,62.27,0.02
168,09:38:45,62.18,-0.09
169,09:38:50,62.18,0.0
170,09:38:57,62.13,-0.05
171,09:39:00,62.11,-0.02
172,09:39:01,62.12,0.01
173,09:39:06,62.0,-0.12
174,09:39:09,62.0,0.0
175,09:39:12,62.05,0.05
176,09:39:15,61.95,-0.1
177,09:39:21,61.95,0.0
