,time,price,change
0,09:25:01,37.0,-0.23
1,09:30:02,37.0,0.0
2,09:30:07,37.0,0.0
3,09:30:08,36.96,-0.04
4,09:30:11,37.0,0.04
5,09:30:13,36.98,-0.02
6,09:30:16,36.97,-0.01
7,09:30:19,36.96,-0.01
8,09:30:22,36.94,-0.02
9,09:30:25,36.92,-0.02
10,09:30:28,36.95,0.03
11,09:30:31,36.95,0.0
12,09:30:34,37.0,0.05
13,09:30:37,37.0,0.0
14,09:30:40,37.08,0.08
15,09:30:44,37.0,-0.08
16,09:30:46,37.15,0.15
17,09:30:49,37.19,0.04
18,09:30:52,37.22,0.03
19,09:30:55,37.26,0.04
20,09:30:59,37.29,0.03
21,09:31:01,37.38,0.09
22,09:31:07,37.4,0.02
23,09:31:09,37.47,0.07
24,09:31:11,37.5,0.03
25,09:31:14,37.47,-0.03
26,09:31:16,37.58,0.11
27,09:31:18,37.51,-0.07
28,09:31:22,37.53,0.02
29,09:31:25,37.41,-0.12
30,09:31:28,37.48,0.07
31,09:31:31,37.46,-0.02
32,09:31:34,37.41,-0.05
33,09:31:37,37.41,0.0
34,09:31:40,37.45,0.04
35,09:31:43,37.41,-0.04
36,09:31:46,37.35,-0.06
37,09:31:49,37.4,0.05
38,09:31:52,37.37,-0.03
39,09:31:55,37.4,0.03
40,09:31:58,37.44,0.04
41,09:32:01,37.55,0.11
42,09:32:06,37.59,0.04
43,09:32:09,37.64,0.05
44,09:32:10,37.64,0.0
45,09:32:13,37.66,0.02
46,09:32:16,37.69,0.03
47,09:32:20,37.67,-0.02
48,09:32:22,37.67,0.0
49,09:32:25,37.7,0.03
50,09:32:27,37.67,-0.03
51,09:32:32,37.65,-0.02
52,09:32:34,37.59,-0.06
53,09:32:37,37.56,-0.03
54,09:32:40,37.54,-0.02
55,09:32:42,37.46,-0.08
56,09:32:47,37.54,0.08
57,09:32:49,37.57,0.03
58,09:32:53,37.51,-0.06
59,09:32:55,37.54,0.03
60,09:32:59,37.54,0.0
61,09:33:02,37.56,0.02
62,09:33:06,37.6,0.04
63,09:33:09,37.65,0.05
64,09:33:10,37.67,0.02
65,09:33:14,37.64,-0.03
66,09:33:16,37.72,0.08
67,09:33:19,37.68,-0.04
68,09:33:22,37.69,0.01
69,09:33:25,37.63,-0.06
70,09:33:29,37.69,0.06
71,09:33:31,37.69,0.0
72,09:33:35,37.65,-0.04
73,09:33:37,37.66,0.01
74,09:33:40,37.65,-0.01
75,09:33:43,37.66,0.01
76,09:33:46,37.65,-0.01
77,09:33:49,37.67,0.02
78,09:33:52,37.65,-0.02
79,09:33:55,37.66,0.01
80,09:33:58,37.66,0.0
81,09:34:02,37.66,0.0
82,09:34:08,37.62,-0.04
83,09:34:09,37.63,0.01
84,09:34:10,37.63,0.0
85,09:34:12,37.63,0.0
86,09:34:16,37.64,0.01
87,09:34:20,37.63,-0.01
88,09:34:22,37.6,-0.03
89,09:34:25,37.61,0.01
90,09:34:28,37.6,-0.01
91,09:34:31,37.6,0.0
92,09:34:34,37.59,-0.01
93,09:34:38,37.6,0.01
94,09:34:40,37.56,-0.04
95,09:34:43,37.57,0.01
96,09:34:46,37.54,-0.03
97,09:34:49,37.55,0.01
98,09:34:52,37.55,0.0
99,09:34:56,37.52,-0.03
100,09:34:58,37.54,0.02
101,09:35:02,37.51,-0.03
102,09:35:06,37.51,0.0
103,09:35:09,37.52,0.01
104,09:35:10,37.54,0.02
105,09:35:14,37.58,0.04
106,09:35:16,37.59,0.01
107,09:35:19,37.64,0.05
108,09:35:22,37.67,0.03
109,09:35:25,37.69,0.02
110,09:35:28,37.73,0.04
111,09:35:31,37.74,0.01
112,09:35:34,37.74,0.0
113,09:35:37,37.74,0.0
114,09:35:40,37.74,0.0
115,09:35:43,37.8,0.06
116,09:35:46,37.78,-0.02
117,09:35:49,37.74,-0.04
118,09:35:53,37.73,-0.01
119,09:35:55,37.71,-0.02
120,09:35:59,37.7,-0.01
121,09:36:01,37.68,-0.02
122,09:36:06,37.67,-0.01
123,09:36:08,37.66,-0.01
124,09:36:10,37.64,-0.02
125,09:36:13,37.67,0.03
126,09:36:16,37.53,-0.14
127,09:36:19,37.67,0.14
128,09:36:22,37.67,0.0
129,09:36:26,37.64,-0.03
130,09:36:28,37.64,0.0
131,09:36:31,37.67,0.03
132,09:36:34,37.64,-0.03
133,09:36:36,37.64,0.0
134,09:36:40,37.63,-0.01
135,09:36:43,37.62,-0.01
136,09:36:46,37.62,0.0
137,09:36:49,37.62,0.0
138,09:36:52,37.6,-0.02
139,09:36:55,37.6,0.0
140,09:36:58,37.6,0.0
141,09:37:01,37.59,-0.01
142,09:37:07,37.6,0.01
143,09:37:09,37.6,0.0
144,09:37:11,37.56,-0.04
145,09:37:13,37.55,-0.01
146,09:37:16,37.58,0.03
147,09:37:19,37.55,-0.03
148,09:37:22,37.51,-0.04
149,09:37:26,37.54,0.03
150,09:37:28,37.51,-0.03
151,09:37:31,37.51,0.0
152,09:37:35,37.5,-0.01
153,09:37:37,37.5,0.0
154,09:37:40,37.48,-0.02
155,09:37:43,37.47,-0.01
156,09:37:46,37.47,0.0
157,09:37:49,37.46,-0.01
158,09:37:52,37.46,0.0
159,09:37:55,37.45,-0.01
160,09:37:58,37.45,0.0
161,09:38:01,37.46,0.01
162,09:38:06,37.45,-0.01
163,09:38:08,37.44,-0.01
164,09:38:10,37.45,0.01
165,09:38:13,37.55,0.1
166,09:38:16,37.68,0.13
167,09:38:19,37.68,0.0
168,09:38:22,37.68,0.0
169,09:38:25,37.76,0.08
170,09:38:28,37.67,-0.09
171,09:38:31,37.73,0.06
172,09:38:34,37.73,0.0
173,09:38:38,37.75,0.02
174,09:38:40,37.69,-0.06
175,09:38:43,37.7,0.01
176,09:38:46,37.67,-0.03
177,09:38:49,37.68,0.01
178,09:38:52,37.63,-0.05
179,09:38:55,37.6,-0.03
180,09:38:59,37.61,0.01
181,09:39:01,37.67,0.06
182,09:39:06,37.67,0.0
183,09:39:09,37.66,-0.01
184,09:39:10,37.67,0.01
185,09:39:14,37.67,0.0
186,09:39:16,37.67,0.0
187,09:39:20,37.67,0.0
188,09:39:22,37.69,0.02
189,09:39:25,37.68,-0.01
190,09:39:28,37.69,0.01
191,09:39:31,37.7,0.01
192,09:39:35,37.77,0.07
193,09:39:37,37.75,-0.02
194,09:39:39,37.75,0.0
195,09:39:42,37.8,0.05
196,09:39:46,37.79,-0.01
197,09:39:48,37.79,0.0
198,09:39:52,37.78,-0.01
199,09:39:54,37.75,-0.03
200,09:39:59,37.78,0.03
201,09:40:02,37.75,-0.03
202,09:40:06,37.72,-0.03
203,09:40:09,37.77,0.05
204,09:40:10,37.76,-0.01
205,09:40:12,37.76,0.0
206,09:40:16,37.77,0.01
207,09:40:19,37.77,0.0
208,09:40:22,37.78,0.01
209,09:40:25,37.76,-0.02
210,09:40:28,37.76,0.0
211,09:40:31,37.76,0.0
212,09:40:34,37.84,0.08
213,09:40:37,37.78,-0.06
214,09:40:40,37.86,0.08
215,09:40:44,37.82,-0.04
216,09:40:46,37.81,-0.01
217,09:40:50,37.8,-0.01
218,09:40:52,37.82,0.02
219,09:40:55,37.8,-0.02
220,09:40:58,37.84,0.04
221,09:41:01,37.82,-0.02
222,09:41:06,37.83,0.01
223,09:41:08,37.8,-0.03
224,09:41:10,37.83,0.03
225,09:41:13,37.85,0.02
226,09:41:16,37.84,-0.01
227,09:41:19,37.84,0.0
228,09:41:22,37.83,-0.01
229,09:41:25,37.83,0.0
230,09:41:28,37.83,0.0
231,09:41:31,37.83,0.0
232,09:41:34,37.81,-0.02
233,09:41:37,37.82,0.01
234,09:41:39,37.78,-0.04
235,09:41:43,37.81,0.03
236,09:41:46,37.8,-0.01
237,09:41:48,37.81,0.01
238,09:41:53,37.8,-0.01
239,09:41:55,37.79,-0.01
240,09:41:57,37.8,0.01
241,09:42:01,37.77,-0.03
242,09:42:06,37.77,0.0
243,09:42:09,37.79,0.02
244,09:42:10,37.76,-0.03
245,09:42:12,37.76,0.0
246,09:42:17,37.76,0.0
247,09:42:19,37.76,0.0
248,09:42:22,37.74,-0.02
249,09:42:26,37.74,0.0
250,09:42:28,37.74,0.0
251,09:42:31,37.74,0.0
252,09:42:34,37.74,0.0
253,09:42:37,37.72,-0.02
254,09:42:40,37.72,0.0
255,09:42:43,37.77,0.05
256,09:42:47,37.85,0.08
257,09:42:49,37.87,0.02
258,09:42:53,37.89,0.02
259,09:42:55,37.92,0.03
260,09:42:57,37.94,0.02
261,09:43:01,37.93,-0.01
262,09:43:07,37.96,0.03
263,09:43:09,37.97,0.01
264,09:43:10,37.93,-0.04
265,09:43:13,37.96,0.03
266,09:43:16,37.95,-0.01
267,09:43:19,37.96,0.01
268,09:43:22,37.96,0.0
269,09:43:25,37.97,0.01
270,09:43:28,37.97,0.0
271,09:43:30,37.97,0.0
272,09:43:34,37.98,0.01
273,09:43:36,37.98,0.0
274,09:43:39,37.99,0.01
275,09:43:43,38.0,0.01
276,09:43:46,38.0,0.0
277,09:43:48,38.0,0.0
278,09:43:52,38.0,0.0
279,09:43:55,38.0,0.0
280,09:43:58,38.0,0.0
281,09:44:01,38.01,0.01
282,09:44:07,38.03,0.02
283,09:44:09,38.08,0.05
284,09:44:10,38.04,-0.04
285,09:44:13,38.05,0.01
286,09:44:16,38.05,0.0
287,09:44:19,38.03,-0.02
288,09:44:22,38.03,0.0
289,09:44:25,38.0,-0.03
290,09:44:28,38.02,0.02
291,09:44:31,38.01,-0.01
292,09:44:34,38.0,-0.01
293,09:44:37,38.01,0.01
294,09:44:39,38.0,-0.01
295,09:44:43,38.0,0.0
296,09:44:46,38.0,0.0
297,09:44:49,37.98,-0.02
298,09:44:52,38.0,0.02
299,09:44:56,37.97,-0.03
300,09:44:58,37.97,0.0
301,09:45:01,37.98,0.01
302,09:45:07,37.97,-0.01
303,09:45:08,37.97,0.0
304,09:45:10,37.98,0.01
305,09:45:13,37.99,0.01
306,09:45:17,37.98,-0.01
307,09:45:19,37.98,0.0
308,09:45:21,37.99,0.01
309,09:45:26,37.98,-0.01
310,09:45:29,38.0,0.02
311,09:45:31,37.99,-0.01
312,09:45:35,38.0,0.01
313,09:45:37,38.01,0.01
314,09:45:40,38.05,0.04
315,09:45:42,38.06,0.01
316,09:45:46,38.06,0.0
317,09:45:49,38.1,0.04
318,09:45:52,38.1,0.0
319,09:45:55,38.13,0.03
320,09:45:58,38.11,-0.02
321,09:46:01,38.15,0.04
322,09:46:07,38.19,0.04
323,09:46:08,38.2,0.01
324,09:46:11,38.18,-0.02
325,09:46:13,38.17,-0.01
326,09:46:16,38.16,-0.01
327,09:46:19,38.15,-0.01
328,09:46:21,38.15,0.0
329,09:46:25,38.15,0.0
330,09:46:27,38.15,0.0
331,09:46:31,38.14,-0.01
332,09:46:33,38.15,0.01
333,09:46:37,38.15,0.0
334,09:46:40,38.14,-0.01
335,09:46:43,38.13,-0.01
