,time,price,change
0,09:25:03,61.33,-0.56
1,09:30:03,61.88,0.55
2,09:30:04,61.33,-0.55
3,09:30:08,61.88,0.55
4,09:30:11,61.48,-0.4
5,09:30:14,61.56,0.08
6,09:30:17,61.88,0.32
7,09:30:20,61.57,-0.31
8,09:30:23,61.88,0.31
9,09:30:25,61.79,-0.09
10,09:30:29,61.95,0.16
11,09:30:32,61.8,-0.15
12,09:30:35,61.61,-0.19
13,09:30:41,61.65,0.04
14,09:30:44,61.87,0.22
15,09:30:47,61.87,0.0
16,09:30:50,61.77,-0.1
17,09:30:51,61.78,0.01
18,09:30:56,62.0,0.22
19,09:31:03,61.88,-0.12
20,09:31:04,61.99,0.11
21,09:31:08,61.98,-0.01
22,09:31:12,61.92,-0.06
23,09:31:14,61.99,0.07
24,09:31:18,62.15,0.16
25,09:31:20,62.11,-0.04
26,09:31:23,62.19,0.08
27,09:31:26,62.19,0.0
28,09:31:29,62.16,-0.03
29,09:31:32,62.12,-0.04
30,09:31:36,62.15,0.03
31,09:31:39,62.19,0.04
32,09:31:41,62.15,-0.04
33,09:31:44,62.12,-0.03
34,09:31:48,62.12,0.0
35,09:31:49,62.12,0.0
36,09:31:51,62.11,-0.01
37,09:31:56,62.12,0.01
38,09:31:59,62.03,-0.09
39,09:32:01,62.08,0.05
40,09:32:06,62.09,0.01
41,09:32:09,62.12,0.03
42,09:32:11,61.93,-0.19
43,09:32:14,61.9,-0.03
44,09:32:18,61.91,0.01
45,09:32:23,61.9,-0.01
46,09:32:25,61.9,0.0
47,09:32:29,61.9,0.0
48,09:32:32,61.9,0.0
49,09:32:35,61.9,0.0
50,09:32:38,61.94,0.04
51,09:32:41,61.92,-0.02
52,09:32:44,61.9,-0.02
53,09:32:51,61.9,0.0
54,09:32:54,61.72,-0.18
55,09:32:55,61.74,0.02
56,09:33:00,61.75,0.01
57,09:33:05,61.76,0.01
58,09:33:06,61.89,0.13
59,09:33:12,61.76,-0.13
60,09:33:17,61.76,0.0
61,09:33:20,61.76,0.0
62,09:33:23,61.76,0.0
63,09:33:27,61.76,0.0
64,09:33:27,61.76,0.0
65,09:33:33,61.76,0.0
66,09:33:35,61.76,0.0
67,09:33:38,61.76,0.0
68,09:33:44,61.89,0.13
69,09:33:47,61.8,-0.09
70,09:33:53,61.88,0.08
71,09:33:57,61.88,0.0
72,09:34:02,61.88,0.0
73,09:34:05,61.9,0.02
74,09:34:06,61.94,0.04
75,09:34:12,61.95,0.01
76,09:34:14,62.06,0.11
77,09:34:18,62.12,0.06
78,09:34:21,62.13,0.01
79,09:34:23,62.18,0.05
80,09:34:27,62.18,0.0
81,09:34:29,62.19,0.01
82,09:34:32,62.2,0.01
83,09:34:35,62.2,0.0
84,09:34:39,62.22,0.02
85,09:34:40,62.25,0.03
86,09:34:44,62.27,0.02
87,09:34:47,62.3,0.03
88,09:34:50,62.31,0.01
89,09:34:51,62.32,0.01
90,09:34:56,62.38,0.06
91,09:35:00,62.39,0.01
92,09:35:05,62.38,-0.01
93,09:35:09,62.31,-0.07
94,09:35:11,62.31,0.0
95,09:35:14,62.25,-0.06
96,09:35:17,62.22,-0.03
97,09:35:23,62.28,0.06
98,09:35:25,62.22,-0.06
99,09:35:29,62.2,-0.02
100,09:35:32,62.2,0.0
101,09:35:34,62.28,0.08
102,09:35:38,62.2,-0.08
103,09:35:40,62.2,0.0
104,09:35:44,62.28,0.08
105,09:35:47,62.28,0.0
106,09:35:53,62.28,0.0
107,09:35:56,62.28,0.0
108,09:36:01,62.22,-0.06
109,09:36:06,62.2,-0.02
110,09:36:11,62.21,0.01
111,09:36:15,62.25,0.04
112,09:36:18,62.2,-0.05
113,09:36:21,62.21,0.01
