,time,price,change
0,09:25:01,34.9,1.27
1,09:30:00,34.96,0.06
2,09:30:08,35.0,0.04
3,09:30:09,35.0,0.0
4,09:30:12,35.09,0.09
5,09:30:13,35.16,0.07
6,09:30:16,35.21,0.05
7,09:30:19,35.26,0.05
8,09:30:22,35.3,0.04
9,09:30:25,35.35,0.05
10,09:30:28,35.5,0.15
11,09:30:32,35.55,0.05
12,09:30:34,35.59,0.04
13,09:30:37,35.67,0.08
14,09:30:40,35.72,0.05
15,09:30:43,35.8,0.08
16,09:30:46,35.9,0.1
17,09:30:50,35.88,-0.02
18,09:30:52,35.78,-0.1
19,09:30:55,35.78,0.0
20,09:30:59,35.78,0.0
21,09:31:02,35.73,-0.05
22,09:31:07,35.7,-0.03
23,09:31:09,35.66,-0.04
24,09:31:10,35.7,0.04
25,09:31:13,35.64,-0.06
26,09:31:17,35.65,0.01
27,09:31:19,35.64,-0.01
28,09:31:22,35.66,0.02
29,09:31:25,35.64,-0.02
30,09:31:28,35.64,0.0
31,09:31:31,35.61,-0.03
32,09:31:34,35.6,-0.01
33,09:31:37,35.6,0.0
34,09:31:39,35.6,0.0
35,09:31:43,35.52,-0.08
36,09:31:47,35.59,0.07
37,09:31:49,35.59,0.0
38,09:31:52,35.61,0.02
39,09:31:55,35.64,0.03
40,09:31:58,35.64,0.0
41,09:32:01,35.7,0.06
42,09:32:08,35.76,0.06
43,09:32:09,35.76,0.0
44,09:32:11,35.76,0.0
45,09:32:13,35.8,0.04
46,09:32:16,35.82,0.02
47,09:32:19,35.87,0.05
48,09:32:22,35.89,0.02
49,09:32:25,35.88,-0.01
50,09:32:28,35.91,0.03
51,09:32:31,35.87,-0.04
52,09:32:33,35.83,-0.04
53,09:32:37,35.85,0.02
54,09:32:40,35.86,0.01
55,09:32:43,35.85,-0.01
56,09:32:46,35.82,-0.03
57,09:32:49,35.84,0.02
58,09:32:52,35.8,-0.04
59,09:32:56,35.83,0.03
60,09:32:58,35.8,-0.03
61,09:33:01,35.74,-0.06
62,09:33:07,35.81,0.07
63,09:33:08,35.75,-0.06
64,09:33:11,35.76,0.01
