,time,price,change
0,09:25:04,384.5,0.5
1,09:30:02,385.0,0.5
2,09:30:05,384.02,-0.98
3,09:30:10,384.51,0.49
4,09:30:16,384.51,0.0
5,09:30:17,384.51,0.0
6,09:30:22,384.5,-0.01
7,09:30:25,384.5,0.0
8,09:30:28,384.5,0.0
9,09:30:31,384.98,0.48
10,09:30:34,384.5,-0.48
11,09:30:37,384.02,-0.48
12,09:30:41,384.0,-0.02
13,09:30:50,383.99,-0.01
14,09:30:53,383.98,-0.01
15,09:31:00,381.58,-2.4
16,09:31:04,383.78,2.2
17,09:31:08,382.0,-1.78
18,09:31:11,381.58,-0.42
19,09:31:17,381.55,-0.03
20,09:31:22,381.59,0.04
21,09:31:23,381.5,-0.09
22,09:31:26,380.02,-1.48
23,09:31:32,380.05,0.03
24,09:31:40,380.07,0.02
25,09:31:43,380.13,0.06
26,09:31:46,381.5,1.37
27,09:31:52,381.6,0.1
28,09:31:55,382.8,1.2
29,09:31:58,381.63,-1.17
30,09:32:01,381.62,-0.01
31,09:32:07,381.63,0.01
32,09:32:16,381.64,0.01
33,09:32:19,381.62,-0.02
34,09:32:22,381.61,-0.01
35,09:32:25,381.0,-0.61
36,09:32:28,380.8,-0.2
37,09:32:30,378.22,-2.58
38,09:32:34,378.22,0.0
39,09:32:35,378.22,0.0
40,09:32:49,379.93,1.71
41,09:32:54,378.32,-1.61
42,09:32:58,378.38,0.06
43,09:33:00,378.38,0.0
44,09:33:04,378.38,0.0
45,09:33:07,378.41,0.03
46,09:33:10,378.38,-0.03
47,09:33:13,378.38,0.0
48,09:33:15,379.9,1.52
49,09:33:19,379.99,0.09
50,09:33:22,378.38,-1.61
51,09:33:25,378.37,-0.01
52,09:33:28,382.99,4.62
53,09:33:31,378.38,-4.61
54,09:33:33,378.39,0.01
55,09:33:37,378.39,0.0
56,09:33:38,378.33,-0.06
57,09:33:42,378.39,0.06
58,09:33:46,378.39,0.0
59,09:33:49,378.11,-0.28
60,09:33:50,378.0,-0.11
61,09:33:55,378.0,0.0
62,09:33:56,378.0,0.0
63,09:34:01,377.0,-1.0
64,09:34:04,378.0,1.0
65,09:34:08,375.1,-2.9
66,09:34:13,375.1,0.0
67,09:34:16,375.1,0.0
68,09:34:19,375.12,0.02
69,09:34:25,375.1,-0.02
70,09:34:26,375.1,0.0
71,09:34:30,377.98,2.88
72,09:34:34,375.22,-2.76
73,09:34:40,377.98,2.76
74,09:34:43,377.98,0.0
75,09:34:45,378.0,0.02
76,09:34:49,378.11,0.11
77,09:34:50,378.32,0.21
78,09:34:53,378.39,0.07
79,09:34:56,378.39,0.0
80,09:34:59,380.0,1.61
81,09:35:04,380.0,0.0
82,09:35:10,380.0,0.0
83,09:35:19,381.88,1.88
84,09:35:21,380.0,-1.88
85,09:35:23,380.09,0.09
86,09:35:28,383.0,2.91
87,09:35:30,381.09,-1.91
88,09:35:32,380.0,-1.09
89,09:35:40,381.88,1.88
90,09:35:43,381.86,-0.02
91,09:35:46,379.02,-2.84
92,09:35:49,380.0,0.98
93,09:35:50,379.0,-1.0
94,09:35:58,379.0,0.0
95,09:36:00,379.5,0.5
96,09:36:04,379.0,-0.5
97,09:36:08,379.15,0.15
98,09:36:15,378.4,-0.75
99,09:36:17,378.32,-0.08
100,09:36:20,378.0,-0.32
101,09:36:26,377.3,-0.7
102,09:36:28,377.0,-0.3
103,09:36:31,376.02,-0.98
104,09:36:34,375.66,-0.36
105,09:36:37,375.25,-0.41
106,09:36:38,375.2,-0.05
107,09:36:43,375.13,-0.07
108,09:36:45,375.0,-0.13
109,09:36:47,375.0,0.0
110,09:36:55,374.58,-0.42
111,09:36:58,374.18,-0.4
112,09:37:01,373.0,-1.18
113,09:37:04,373.0,0.0
114,09:37:07,373.0,0.0
115,09:37:10,373.0,0.0
116,09:37:11,372.0,-1.0
117,09:37:17,372.0,0.0
118,09:37:22,372.79,0.79
119,09:37:23,372.0,-0.79
120,09:37:31,371.95,-0.05
121,09:37:32,371.95,0.0
122,09:37:37,371.61,-0.34
123,09:37:40,371.01,-0.6
124,09:37:43,370.88,-0.13
125,09:37:46,370.88,0.0
126,09:37:52,371.65,0.77
127,09:37:53,371.65,0.0
128,09:37:58,371.61,-0.04
129,09:38:04,371.95,0.34
130,09:38:07,371.96,0.01
131,09:38:10,371.96,0.0
132,09:38:13,372.02,0.06
133,09:38:16,372.02,0.0
134,09:38:18,373.0,0.98
135,09:38:22,373.0,0.0
136,09:38:23,373.0,0.0
137,09:38:28,375.0,2.0
138,09:38:30,374.18,-0.82
139,09:38:34,375.24,1.06
140,09:38:38,374.3,-0.94
141,09:38:43,378.99,4.69
142,09:38:45,378.98,-0.01
143,09:38:47,378.97,-0.01
144,09:38:50,378.99,0.02
145,09:38:58,378.89,-0.1
146,09:39:01,376.08,-2.81
147,09:39:05,376.0,-0.08
148,09:39:10,376.0,0.0
149,09:39:11,376.0,0.0
150,09:39:17,376.0,0.0
151,09:39:22,378.35,2.35
152,09:39:23,376.0,-2.35
153,09:39:28,376.08,0.08
154,09:39:30,376.08,0.0
155,09:39:32,376.02,-0.06
156,09:39:40,378.88,2.86
157,09:39:41,376.02,-2.86
158,09:39:45,376.02,0.0
159,09:39:50,376.02,0.0
160,09:39:53,376.99,0.97
161,09:40:01,376.99,0.0
162,09:40:04,378.72,1.73
163,09:40:07,378.88,0.16
164,09:40:13,378.72,-0.16
165,09:40:16,378.88,0.16
166,09:40:25,376.06,-2.82
167,09:40:26,378.88,2.82
168,09:40:34,376.1,-2.78
169,09:40:35,378.88,2.78
170,09:40:38,379.0,0.12
171,09:40:43,379.0,0.0
172,09:40:45,376.05,-2.95
173,09:40:50,376.2,0.15
174,09:40:55,378.95,2.75
175,09:41:00,379.8,0.85
176,09:41:05,377.43,-2.37
177,09:41:22,377.0,-0.43
178,09:41:23,377.0,0.0
179,09:41:28,376.2,-0.8
180,09:41:30,376.11,-0.09
181,09:41:34,376.1,-0.01
