,time,price,change
0,09:25:01,37.7,-0.32
1,09:30:02,37.66,-0.04
2,09:30:08,37.66,0.0
3,09:30:09,37.57,-0.09
4,09:30:12,37.57,0.0
5,09:30:13,37.57,0.0
6,09:30:16,37.57,0.0
7,09:30:19,37.57,0.0
8,09:30:22,37.55,-0.02
9,09:30:25,37.54,-0.01
10,09:30:28,37.55,0.01
11,09:30:30,37.53,-0.02
12,09:30:34,37.52,-0.01
13,09:30:37,37.55,0.03
14,09:30:40,37.57,0.02
15,09:30:43,37.51,-0.06
16,09:30:46,37.52,0.01
17,09:30:49,37.51,-0.01
18,09:30:52,37.52,0.01
19,09:30:55,37.54,0.02
20,09:30:58,37.52,-0.02
21,09:31:01,37.53,0.01
22,09:31:08,37.55,0.02
23,09:31:09,37.56,0.01
24,09:31:11,37.59,0.03
25,09:31:13,37.64,0.05
26,09:31:16,37.66,0.02
27,09:31:19,37.67,0.01
28,09:31:22,37.67,0.0
29,09:31:25,37.68,0.01
30,09:31:29,37.68,0.0
31,09:31:31,37.68,0.0
32,09:31:35,37.67,-0.01
33,09:31:37,37.67,0.0
34,09:31:41,37.67,0.0
35,09:31:43,37.71,0.04
36,09:31:47,37.71,0.0
37,09:31:49,37.71,0.0
38,09:31:53,37.74,0.03
39,09:31:55,37.73,-0.01
40,09:31:57,37.75,0.02
41,09:32:01,37.75,0.0
42,09:32:07,37.74,-0.01
43,09:32:09,37.73,-0.01
44,09:32:11,37.72,-0.01
45,09:32:13,37.72,0.0
46,09:32:16,37.72,0.0
47,09:32:20,37.72,0.0
48,09:32:22,37.72,0.0
49,09:32:25,37.73,0.01
50,09:32:28,37.72,-0.01
51,09:32:30,37.73,0.01
52,09:32:35,37.72,-0.01
53,09:32:37,37.72,0.0
54,09:32:40,37.79,0.07
55,09:32:44,37.8,0.01
56,09:32:46,37.75,-0.05
57,09:32:48,37.75,0.0
58,09:32:52,37.8,0.05
59,09:32:56,37.75,-0.05
60,09:32:58,37.79,0.04
61,09:33:02,37.8,0.01
62,09:33:07,37.8,0.0
63,09:33:09,37.8,0.0
64,09:33:10,37.79,-0.01
65,09:33:13,37.81,0.02
66,09:33:16,37.83,0.02
67,09:33:19,37.79,-0.04
68,09:33:22,37.84,0.05
69,09:33:25,37.81,-0.03
70,09:33:28,37.84,0.03
71,09:33:31,37.8,-0.04
72,09:33:34,37.84,0.04
73,09:33:37,37.82,-0.02
74,09:33:40,37.81,-0.01
75,09:33:43,37.85,0.04
76,09:33:46,37.81,-0.04
77,09:33:48,37.82,0.01
78,09:33:52,37.8,-0.02
79,09:33:54,37.83,0.03
80,09:33:59,37.81,-0.02
81,09:34:02,37.81,0.0
82,09:34:07,37.8,-0.01
83,09:34:09,37.81,0.01
84,09:34:10,37.8,-0.01
85,09:34:12,37.84,0.04
86,09:34:16,37.82,-0.02
87,09:34:20,37.86,0.04
88,09:34:22,37.88,0.02
89,09:34:24,37.9,0.02
90,09:34:29,37.9,0.0
91,09:34:31,37.95,0.05
92,09:34:34,37.95,0.0
93,09:34:38,37.95,0.0
94,09:34:40,37.91,-0.04
95,09:34:43,37.97,0.06
96,09:34:46,37.98,0.01
97,09:34:49,37.95,-0.03
98,09:34:52,37.96,0.01
99,09:34:55,37.95,-0.01
100,09:34:58,37.96,0.01
101,09:35:01,37.96,0.0
102,09:35:07,37.95,-0.01
103,09:35:09,37.95,0.0
104,09:35:11,37.92,-0.03
105,09:35:13,37.96,0.04
106,09:35:16,37.93,-0.03
107,09:35:20,37.86,-0.07
108,09:35:22,37.86,0.0
109,09:35:25,37.85,-0.01
110,09:35:28,37.85,0.0
111,09:35:31,37.85,0.0
112,09:35:34,37.85,0.0
113,09:35:37,37.82,-0.03
114,09:35:41,37.85,0.03
115,09:35:43,37.82,-0.03
116,09:35:45,37.85,0.03
117,09:35:50,37.84,-0.01
118,09:35:52,37.82,-0.02
119,09:35:54,37.81,-0.01
120,09:35:59,37.82,0.01
121,09:36:01,37.8,-0.02
122,09:36:06,37.78,-0.02
123,09:36:09,37.8,0.02
124,09:36:10,37.8,0.0
125,09:36:14,37.78,-0.02
126,09:36:16,37.77,-0.01
127,09:36:19,37.77,0.0
128,09:36:22,37.77,0.0
129,09:36:25,37.76,-0.01
130,09:36:29,37.74,-0.02
131,09:36:31,37.73,-0.01
132,09:36:34,37.74,0.01
133,09:36:37,37.73,-0.01
134,09:36:40,37.73,0.0
135,09:36:43,37.7,-0.03
136,09:36:46,37.7,0.0
137,09:36:49,37.65,-0.05
138,09:36:52,37.65,0.0
139,09:36:55,37.65,0.0
140,09:36:58,37.6,-0.05
141,09:37:01,37.64,0.04
142,09:37:06,37.65,0.01
143,09:37:08,37.62,-0.03
144,09:37:10,37.69,0.07
145,09:37:13,37.7,0.01
146,09:37:16,37.69,-0.01
147,09:37:20,37.7,0.01
148,09:37:22,37.7,0.0
149,09:37:25,37.71,0.01
150,09:37:28,37.72,0.01
151,09:37:32,37.7,-0.02
152,09:37:34,37.74,0.04
153,09:37:37,37.7,-0.04
154,09:37:41,37.7,0.0
155,09:37:43,37.7,0.0
156,09:37:45,37.7,0.0
157,09:37:49,37.7,0.0
158,09:37:52,37.71,0.01
159,09:37:55,37.71,0.0
160,09:37:58,37.71,0.0
161,09:38:00,37.71,0.0
162,09:38:07,37.72,0.01
