,time,price,change
0,09:25:04,24.48,-0.02
1,09:30:01,24.45,-0.03
2,09:30:04,24.45,0.0
3,09:30:07,24.39,-0.06
4,09:30:09,24.43,0.04
5,09:30:12,24.43,0.0
6,09:30:16,24.39,-0.04
7,09:30:19,24.41,0.02
8,09:30:22,24.41,0.0
9,09:30:27,24.37,-0.04
10,09:30:30,24.35,-0.02
11,09:30:40,24.35,0.0
12,09:30:43,24.32,-0.03
13,09:30:46,24.31,-0.01
14,09:30:49,24.31,0.0
15,09:30:52,24.32,0.01
16,09:30:55,24.3,-0.02
17,09:30:57,24.31,0.01
18,09:31:00,24.31,0.0
19,09:31:04,24.37,0.06
20,09:31:07,24.4,0.03
21,09:31:10,24.43,0.03
22,09:31:12,24.43,0.0
23,09:31:16,24.45,0.02
24,09:31:21,24.43,-0.02
25,09:31:24,24.45,0.02
26,09:31:27,24.45,0.0
27,09:31:30,24.45,0.0
28,09:31:34,24.47,0.02
29,09:31:37,24.47,0.0
30,09:31:39,24.47,0.0
31,09:31:43,24.47,0.0
32,09:31:46,24.47,0.0
33,09:31:48,24.48,0.01
34,09:31:51,24.46,-0.02
35,09:31:54,24.45,-0.01
36,09:31:58,24.41,-0.04
37,09:32:00,24.4,-0.01
38,09:32:04,24.37,-0.03
39,09:32:07,24.37,0.0
40,09:32:10,24.34,-0.03
41,09:32:13,24.34,0.0
42,09:32:16,24.36,0.02
43,09:32:19,24.36,0.0
44,09:32:21,24.36,0.0
45,09:32:25,24.36,0.0
46,09:32:27,24.35,-0.01
47,09:32:31,24.36,0.01
48,09:32:33,24.36,0.0
49,09:32:36,24.36,0.0
50,09:32:40,24.35,-0.01
51,09:32:42,24.36,0.01
52,09:32:46,24.35,-0.01
53,09:32:49,24.36,0.01
54,09:32:52,24.35,-0.01
55,09:32:55,24.35,0.0
56,09:33:01,24.35,0.0
57,09:33:04,24.34,-0.01
58,09:33:06,24.36,0.02
59,09:33:15,24.45,0.09
60,09:33:19,24.42,-0.03
61,09:33:21,24.52,0.1
62,09:33:24,24.52,0.0
63,09:33:28,24.6,0.08
64,09:33:31,24.52,-0.08
65,09:33:34,24.52,0.0
