"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年7月31日","24.216","23.625","24.670","23.410","139.82K","3.66%"
"2020年7月30日","23.362","24.450","24.580","23.000","154.86K","-3.94%"
"2020年7月29日","24.321","24.580","25.120","23.435","138.90K","0.09%"
"2020年7月28日","24.300","24.700","26.275","22.460","253.67K","-0.82%"
"2020年7月27日","24.501","22.970","24.820","22.940","188.89K","4.82%"
"2020年7月26日","23.375","22.970","23.440","22.965","-","2.30%"
"2020年7月24日","22.850","22.835","23.185","22.580","111.99K","-0.60%"
"2020年7月23日","22.988","23.405","23.670","22.475","182.28K","-0.67%"
"2020年7月22日","23.144","21.700","23.420","21.680","202.39K","7.36%"
"2020年7月21日","21.557","20.340","21.725","20.315","142.78K","6.76%"
"2020年7月20日","20.192","19.765","20.340","19.655","80.32K","2.36%"
"2020年7月19日","19.727","19.755","19.760","19.710","-","-0.19%"
"2020年7月17日","19.764","19.535","19.790","19.355","56.42K","0.98%"
"2020年7月16日","19.573","19.820","19.870","19.475","54.37K","-0.95%"
"2020年7月15日","19.761","19.645","19.845","19.525","58.39K","1.18%"
"2020年7月14日","19.530","19.455","19.685","19.240","73.78K","-1.30%"
"2020年7月13日","19.788","19.080","19.810","19.080","85.99K","3.23%"
"2020年7月12日","19.168","19.075","19.203","19.058","-","0.60%"
"2020年7月10日","19.053","19.025","19.195","18.910","62.08K","0.48%"
"2020年7月9日","18.962","19.150","19.445","18.830","102.76K","-1.04%"
"2020年7月8日","19.161","18.625","19.215","18.585","84.23K","2.47%"
"2020年7月7日","18.699","18.585","18.720","18.235","71.67K","0.63%"
"2020年7月6日","18.582","18.270","18.780","18.245","63.13K","1.36%"
"2020年7月5日","18.332","18.335","18.363","18.300","-","0.09%"
"2020年7月3日","18.315","18.250","18.345","18.223","-","-0.04%"
"2020年7月2日","18.322","18.285","18.400","17.995","49.86K","0.57%"
"2020年7月1日","18.218","18.580","18.850","18.095","86.82K","-2.25%"
