"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年7月31日","897.25","894.50","899.25","894.00","-","0.34%"
"2020年7月30日","894.25","890.38","894.25","884.25","-","0.22%"
"2020年7月29日","892.25","896.88","898.25","891.38","-","-0.49%"
"2020年7月28日","896.62","900.25","901.38","893.12","-","-0.40%"
"2020年7月27日","900.25","903.88","909.38","900.25","-","-0.39%"
"2020年7月26日","903.75","903.75","903.75","903.75","-","-0.18%"
"2020年7月24日","905.38","906.00","909.75","901.50","-","-0.07%"
"2020年7月23日","906.00","898.75","906.88","897.38","-","0.79%"
"2020年7月22日","898.88","896.12","901.12","892.12","-","0.33%"
"2020年7月21日","895.88","901.50","901.88","894.88","-","-0.69%"
"2020年7月20日","902.12","898.62","905.62","897.12","-","0.40%"
"2020年7月17日","898.50","893.50","898.75","892.62","-","0.57%"
"2020年7月16日","893.38","887.00","896.00","887.00","-","0.72%"
"2020年7月15日","887.00","879.12","887.62","877.62","-","0.90%"
"2020年7月14日","879.12","874.75","882.62","872.75","-","0.47%"
"2020年7月13日","875.00","882.25","884.62","870.62","-","-0.79%"
"2020年7月12日","882.00","886.75","886.75","882.00","-","-0.54%"
"2020年7月10日","886.75","895.88","900.50","883.75","-","-1.09%"
"2020年7月9日","896.50","894.12","904.25","892.75","-","0.29%"
"2020年7月8日","893.88","895.62","896.75","890.12","-","-0.24%"
"2020年7月7日","896.00","899.38","901.38","893.62","-","-0.33%"
"2020年7月6日","899.00","896.38","904.00","895.88","-","0.77%"
"2020年7月2日","892.12","893.75","898.00","890.25","-","-0.20%"
"2020年7月1日","893.88","884.00","898.50","883.00","-","1.15%"
