,time,price,change
0,09:25:01,60.41,0.01
1,09:29:59,60.89,0.48
2,09:30:02,60.5,-0.39
3,09:30:05,60.66,0.16
4,09:30:10,60.66,0.0
5,09:30:11,60.84,0.18
6,09:30:17,60.82,-0.02
7,09:30:22,60.85,0.03
8,09:30:25,61.0,0.15
9,09:30:28,60.99,-0.01
10,09:30:31,61.38,0.39
11,09:30:34,61.38,0.0
12,09:30:37,61.37,-0.01
13,09:30:38,61.37,0.0
14,09:30:41,61.38,0.01
15,09:30:45,61.36,-0.02
16,09:30:49,61.04,-0.32
17,09:30:50,61.38,0.34
18,09:30:53,61.23,-0.15
19,09:31:00,61.04,-0.19
20,09:31:04,61.37,0.33
21,09:31:05,61.36,-0.01
22,09:31:08,61.36,0.0
23,09:31:15,61.36,0.0
24,09:31:17,61.5,0.14
25,09:31:22,61.41,-0.09
26,09:31:25,61.37,-0.04
27,09:31:28,61.5,0.13
28,09:31:31,61.6,0.1
29,09:31:34,61.58,-0.02
30,09:31:35,61.59,0.01
31,09:31:40,61.89,0.3
32,09:31:43,61.89,0.0
33,09:31:46,61.93,0.04
34,09:31:49,61.89,-0.04
35,09:31:52,61.89,0.0
36,09:31:55,61.95,0.06
37,09:31:58,61.86,-0.09
38,09:32:01,61.9,0.04
39,09:32:03,61.95,0.05
40,09:32:07,61.9,-0.05
41,09:32:08,61.88,-0.02
42,09:32:13,61.81,-0.07
43,09:32:16,61.87,0.06
44,09:32:19,61.88,0.01
45,09:32:22,61.81,-0.07
46,09:32:25,61.9,0.09
47,09:32:28,61.88,-0.02
48,09:32:30,61.84,-0.04
49,09:32:34,61.94,0.1
50,09:32:35,61.8,-0.14
51,09:32:40,61.81,0.01
52,09:32:43,61.88,0.07
53,09:32:45,61.71,-0.17
54,09:32:49,61.71,0.0
55,09:32:52,61.82,0.11
56,09:32:54,61.7,-0.12
57,09:32:58,61.69,-0.01
58,09:33:00,61.82,0.13
59,09:33:04,61.7,-0.12
60,09:33:07,61.9,0.2
61,09:33:10,61.8,-0.1
62,09:33:13,61.73,-0.07
63,09:33:15,61.74,0.01
64,09:33:19,61.73,-0.01
65,09:33:22,61.81,0.08
66,09:33:25,61.82,0.01
67,09:33:28,61.9,0.08
68,09:33:31,61.98,0.08
69,09:33:33,61.99,0.01
70,09:33:37,62.02,0.03
71,09:33:38,62.12,0.1
72,09:33:42,62.2,0.08
73,09:33:46,62.25,0.05
74,09:33:49,62.36,0.11
75,09:33:50,62.39,0.03
76,09:33:55,62.42,0.03
77,09:33:56,62.5,0.08
78,09:34:01,62.5,0.0
79,09:34:04,62.49,-0.01
80,09:34:07,62.44,-0.05
81,09:34:08,62.44,0.0
82,09:34:13,62.42,-0.02
83,09:34:16,62.3,-0.12
84,09:34:19,62.33,0.03
85,09:34:22,62.23,-0.1
86,09:34:25,62.23,0.0
87,09:34:26,62.22,-0.01
88,09:34:30,62.23,0.01
89,09:34:34,62.2,-0.03
90,09:34:35,62.2,0.0
91,09:34:40,62.2,0.0
92,09:34:43,62.24,0.04
93,09:34:45,62.25,0.01
94,09:34:49,62.24,-0.01
95,09:34:50,62.21,-0.03
96,09:34:53,62.24,0.03
97,09:34:56,62.2,-0.04
98,09:35:04,62.02,-0.18
99,09:35:05,62.02,0.0
100,09:35:10,62.0,-0.02
101,09:35:13,61.94,-0.06
102,09:35:16,62.0,0.06
103,09:35:19,61.97,-0.03
104,09:35:21,61.97,0.0
105,09:35:23,62.0,0.03
106,09:35:28,62.01,0.01
107,09:35:30,62.02,0.01
108,09:35:32,62.03,0.01
109,09:35:37,62.01,-0.02
110,09:35:40,62.07,0.06
111,09:35:43,62.04,-0.03
112,09:35:46,62.03,-0.01
113,09:35:49,62.1,0.07
114,09:35:50,62.03,-0.07
115,09:35:55,62.02,-0.01
116,09:35:58,62.02,0.0
117,09:36:00,61.98,-0.04
118,09:36:04,61.98,0.0
119,09:36:07,61.97,-0.01
120,09:36:08,61.98,0.01
121,09:36:11,61.96,-0.02
122,09:36:15,61.96,0.0
123,09:36:17,61.98,0.02
124,09:36:20,62.02,0.04
125,09:36:26,62.0,-0.02
