,time,price,change
0,09:25:01,36.9,-0.06
1,09:30:02,36.83,-0.07
2,09:30:08,36.83,0.0
3,09:30:09,36.83,0.0
4,09:30:12,36.89,0.06
5,09:30:13,36.86,-0.03
6,09:30:16,36.86,0.0
7,09:30:19,36.9,0.04
8,09:30:22,36.87,-0.03
9,09:30:25,36.87,0.0
10,09:30:28,36.88,0.01
11,09:30:32,36.87,-0.01
12,09:30:34,36.87,0.0
13,09:30:38,36.81,-0.06
14,09:30:40,36.84,0.03
15,09:30:43,36.77,-0.07
16,09:30:46,36.79,0.02
17,09:30:49,36.77,-0.02
18,09:30:52,36.76,-0.01
19,09:30:55,36.74,-0.02
20,09:30:59,36.74,0.0
21,09:31:01,36.74,0.0
22,09:31:07,36.73,-0.01
23,09:31:08,36.74,0.01
24,09:31:10,36.73,-0.01
25,09:31:13,36.72,-0.01
26,09:31:16,36.72,0.0
27,09:31:19,36.72,0.0
28,09:31:22,36.7,-0.02
29,09:31:24,36.69,-0.01
30,09:31:29,36.72,0.03
31,09:31:31,36.72,0.0
32,09:31:35,36.74,0.02
33,09:31:37,36.74,0.0
34,09:31:41,36.75,0.01
35,09:31:44,36.78,0.03
36,09:31:47,36.81,0.03
37,09:31:49,36.78,-0.03
38,09:31:53,36.81,0.03
39,09:31:56,36.81,0.0
40,09:31:58,36.81,0.0
41,09:32:00,36.86,0.05
42,09:32:07,36.85,-0.01
43,09:32:08,36.83,-0.02
44,09:32:11,36.85,0.02
45,09:32:13,36.84,-0.01
46,09:32:16,36.89,0.05
47,09:32:19,36.88,-0.01
48,09:32:22,36.89,0.01
49,09:32:26,36.89,0.0
50,09:32:28,36.89,0.0
51,09:32:32,36.92,0.03
52,09:32:35,36.95,0.03
53,09:32:37,36.95,0.0
54,09:32:41,36.96,0.01
55,09:32:44,36.95,-0.01
56,09:32:46,36.98,0.03
57,09:32:50,36.97,-0.01
58,09:32:52,36.97,0.0
59,09:32:54,36.98,0.01
60,09:32:59,37.0,0.02
61,09:33:01,37.0,0.0
62,09:33:07,37.04,0.04
63,09:33:08,37.04,0.0
64,09:33:11,37.08,0.04
65,09:33:13,37.08,0.0
66,09:33:16,37.13,0.05
67,09:33:19,37.09,-0.04
68,09:33:22,37.12,0.03
69,09:33:25,37.16,0.04
70,09:33:28,37.2,0.04
71,09:33:32,37.19,-0.01
72,09:33:34,37.16,-0.03
73,09:33:37,37.22,0.06
74,09:33:40,37.22,0.0
75,09:33:43,37.15,-0.07
76,09:33:46,37.1,-0.05
77,09:33:49,37.05,-0.05
78,09:33:52,37.01,-0.04
79,09:33:55,36.98,-0.03
80,09:33:59,36.89,-0.09
81,09:34:01,36.82,-0.07
82,09:34:07,36.78,-0.04
83,09:34:08,36.76,-0.02
84,09:34:10,36.76,0.0
85,09:34:13,36.7,-0.06
86,09:34:16,36.7,0.0
87,09:34:20,36.74,0.04
88,09:34:22,36.7,-0.04
89,09:34:25,36.7,0.0
90,09:34:28,36.69,-0.01
91,09:34:31,36.71,0.02
92,09:34:34,36.76,0.05
93,09:34:37,36.72,-0.04
94,09:34:41,36.71,-0.01
95,09:34:43,36.7,-0.01
96,09:34:47,36.7,0.0
97,09:34:49,36.7,0.0
98,09:34:52,36.69,-0.01
99,09:34:55,36.7,0.01
100,09:34:59,36.7,0.0
101,09:35:01,36.71,0.01
102,09:35:07,36.7,-0.01
103,09:35:08,36.7,0.0
104,09:35:10,36.7,0.0
105,09:35:13,36.71,0.01
106,09:35:16,36.69,-0.02
107,09:35:20,36.69,0.0
108,09:35:22,36.7,0.01
109,09:35:26,36.68,-0.02
110,09:35:28,36.68,0.0
111,09:35:31,36.68,0.0
112,09:35:35,36.67,-0.01
113,09:35:37,36.64,-0.03
114,09:35:40,36.64,0.0
115,09:35:43,36.64,0.0
116,09:35:46,36.63,-0.01
117,09:35:49,36.6,-0.03
118,09:35:52,36.6,0.0
119,09:35:56,36.62,0.02
120,09:35:59,36.6,-0.02
121,09:36:01,36.61,0.01
122,09:36:06,36.62,0.01
