,time,price,change
0,09:25:03,431.48,-3.38
1,09:30:00,431.5,0.02
2,09:30:03,429.48,-2.02
3,09:30:06,429.48,0.0
4,09:30:09,427.34,-2.14
5,09:30:13,429.47,2.13
6,09:30:15,430.0,0.53
7,09:30:19,425.57,-4.43
8,09:30:21,425.48,-0.09
9,09:30:25,425.0,-0.48
10,09:30:28,423.5,-1.5
11,09:30:31,425.0,1.5
12,09:30:34,425.47,0.47
13,09:30:36,425.0,-0.47
14,09:30:40,425.0,0.0
15,09:30:43,424.99,-0.01
16,09:30:45,425.0,0.01
17,09:30:48,425.0,0.0
18,09:30:52,423.51,-1.49
19,09:30:55,425.0,1.49
20,09:30:58,425.01,0.01
21,09:31:02,425.46,0.45
22,09:31:04,425.46,0.0
23,09:31:06,425.0,-0.46
24,09:31:09,425.0,0.0
25,09:31:13,424.0,-1.0
26,09:31:15,423.5,-0.5
27,09:31:21,423.5,0.0
28,09:31:24,423.5,0.0
29,09:31:27,423.6,0.1
30,09:31:30,423.0,-0.6
31,09:31:34,423.48,0.48
32,09:31:37,425.0,1.52
33,09:31:44,425.0,0.0
34,09:31:46,423.5,-1.5
35,09:31:49,423.5,0.0
36,09:31:52,423.9,0.4
37,09:31:58,423.0,-0.9
38,09:32:03,427.91,4.91
39,09:32:10,427.92,0.01
40,09:32:13,427.92,0.0
41,09:32:17,427.99,0.07
42,09:32:19,427.91,-0.08
43,09:32:21,428.99,1.08
44,09:32:25,428.99,0.0
45,09:32:27,428.01,-0.98
46,09:32:30,429.46,1.45
47,09:32:34,428.01,-1.45
48,09:32:37,428.99,0.98
49,09:32:40,429.29,0.3
50,09:32:47,428.0,-1.29
51,09:32:49,429.29,1.29
52,09:32:52,430.01,0.72
53,09:32:55,430.01,0.0
54,09:33:01,430.25,0.24
55,09:33:04,431.0,0.75
56,09:33:07,430.25,-0.75
57,09:33:12,431.44,1.19
58,09:33:19,431.46,0.02
59,09:33:22,431.42,-0.04
60,09:33:24,431.42,0.0
61,09:33:28,431.42,0.0
62,09:33:34,431.41,-0.01
63,09:33:37,430.33,-1.08
64,09:33:40,430.25,-0.08
65,09:33:47,430.25,0.0
66,09:33:48,430.0,-0.25
67,09:33:52,430.33,0.33
68,09:33:58,430.0,-0.33
69,09:34:01,428.99,-1.01
70,09:34:03,428.99,0.0
71,09:34:10,428.0,-0.99
72,09:34:13,427.99,-0.01
73,09:34:15,427.99,0.0
74,09:34:19,427.99,0.0
75,09:34:28,428.0,0.01
76,09:34:32,428.0,0.0
77,09:34:34,427.99,-0.01
78,09:34:37,427.15,-0.84
79,09:34:39,427.15,0.0
80,09:34:43,427.98,0.83
81,09:34:46,425.67,-2.31
82,09:34:49,428.0,2.33
83,09:34:51,428.0,0.0
84,09:34:55,427.3,-0.7
85,09:34:57,425.7,-1.6
86,09:35:01,426.0,0.3
87,09:35:03,427.0,1.0
88,09:35:06,426.0,-1.0
89,09:35:09,426.0,0.0
90,09:35:12,426.96,0.96
91,09:35:15,426.0,-0.96
92,09:35:19,426.32,0.32
93,09:35:24,426.32,0.0
94,09:35:28,426.0,-0.32
95,09:35:31,426.0,0.0
96,09:35:37,426.28,0.28
97,09:35:40,426.01,-0.27
98,09:35:43,426.0,-0.01
99,09:35:47,426.0,0.0
100,09:35:49,425.0,-1.0
101,09:35:52,425.0,0.0
102,09:35:54,424.58,-0.42
103,09:36:02,424.58,0.0
104,09:36:05,424.58,0.0
105,09:36:06,425.0,0.42
106,09:36:10,424.0,-1.0
107,09:36:13,424.0,0.0
108,09:36:16,424.0,0.0
109,09:36:19,423.0,-1.0
110,09:36:22,421.7,-1.3
111,09:36:25,421.62,-0.08
112,09:36:28,421.58,-0.04
113,09:36:31,421.68,0.1
114,09:36:34,421.53,-0.15
115,09:36:36,421.71,0.18
116,09:36:40,420.77,-0.94
117,09:36:42,420.0,-0.77
118,09:36:47,419.7,-0.3
119,09:36:49,418.01,-1.69
120,09:36:52,418.0,-0.01
121,09:36:54,418.0,0.0
122,09:36:58,417.0,-1.0
123,09:37:02,418.0,1.0
124,09:37:05,417.77,-0.23
125,09:37:07,416.0,-1.77
126,09:37:10,415.0,-1.0
127,09:37:13,414.2,-0.8
128,09:37:17,415.0,0.8
129,09:37:19,415.0,0.0
130,09:37:22,416.0,1.0
131,09:37:24,418.0,2.0
132,09:37:31,417.25,-0.75
133,09:37:34,416.0,-1.25
134,09:37:40,418.0,2.0
135,09:37:43,418.0,0.0
136,09:37:46,417.54,-0.46
137,09:37:49,417.56,0.02
138,09:37:55,418.0,0.44
139,09:38:01,421.0,3.0
140,09:38:03,418.0,-3.0
141,09:38:10,420.0,2.0
142,09:38:19,420.98,0.98
143,09:38:22,420.0,-0.98
144,09:38:25,420.84,0.84
145,09:38:27,420.98,0.14
146,09:38:31,420.0,-0.98
147,09:38:34,420.0,0.0
148,09:38:37,420.98,0.98
149,09:38:40,420.0,-0.98
150,09:38:43,420.98,0.98
151,09:38:45,421.0,0.02
152,09:38:48,422.0,1.0
153,09:38:52,423.0,1.0
154,09:38:58,420.0,-3.0
155,09:39:03,420.01,0.01
156,09:39:07,420.96,0.95
157,09:39:10,420.0,-0.96
158,09:39:13,420.0,0.0
159,09:39:19,422.0,2.0
160,09:39:24,419.32,-2.68
161,09:39:32,419.26,-0.06
162,09:39:34,419.25,-0.01
163,09:39:37,419.0,-0.25
164,09:39:40,419.09,0.09
165,09:39:43,419.26,0.17
166,09:39:49,418.1,-1.16
167,09:39:52,418.0,-0.1
168,09:39:54,417.4,-0.6
169,09:40:00,418.0,0.6
170,09:40:04,417.33,-0.67
171,09:40:07,417.33,0.0
172,09:40:10,417.33,0.0
173,09:40:12,417.33,0.0
174,09:40:18,417.33,0.0
175,09:40:22,418.0,0.67
176,09:40:25,417.33,-0.67
177,09:40:27,418.1,0.77
178,09:40:30,418.1,0.0
179,09:40:34,418.1,0.0
180,09:40:40,418.5,0.4
181,09:40:43,419.28,0.78
182,09:40:47,420.01,0.73
183,09:40:49,420.01,0.0
184,09:40:52,421.0,0.99
185,09:40:58,421.0,0.0
186,09:41:02,421.99,0.99
187,09:41:04,420.01,-1.98
188,09:41:07,420.01,0.0
189,09:41:10,421.0,0.99
190,09:41:13,420.0,-1.0
191,09:41:17,420.0,0.0
192,09:41:18,419.28,-0.72
193,09:41:22,418.66,-0.62
194,09:41:27,418.1,-0.56
195,09:41:28,418.1,0.0
196,09:41:31,418.0,-0.1
197,09:41:33,417.74,-0.26
198,09:41:37,417.74,0.0
199,09:41:40,417.73,-0.01
200,09:41:43,417.76,0.03
201,09:41:47,417.0,-0.76
202,09:41:49,417.0,0.0
203,09:41:52,417.0,0.0
204,09:41:55,417.0,0.0
205,09:41:58,417.0,0.0
206,09:42:02,417.74,0.74
207,09:42:04,417.0,-0.74
208,09:42:07,417.08,0.08
209,09:42:10,418.66,1.58
210,09:42:13,418.0,-0.66
211,09:42:16,418.0,0.0
212,09:42:20,418.0,0.0
213,09:42:25,418.01,0.01
214,09:42:28,419.0,0.99
215,09:42:31,419.28,0.28
216,09:42:33,418.38,-0.9
217,09:42:37,418.04,-0.34
218,09:42:43,417.0,-1.04
219,09:42:49,420.0,3.0
