,time,price,change
0,09:25:05,23.9,-0.05
1,09:30:03,23.9,0.0
2,09:30:06,23.85,-0.05
3,09:30:09,23.8,-0.05
4,09:30:12,23.76,-0.04
5,09:30:16,23.85,0.09
6,09:30:18,23.8,-0.05
7,09:30:27,23.8,0.0
8,09:30:31,23.83,0.03
9,09:30:33,23.84,0.01
10,09:30:36,23.81,-0.03
11,09:30:42,23.85,0.04
12,09:30:46,23.82,-0.03
13,09:30:48,23.86,0.04
14,09:30:51,23.89,0.03
15,09:30:54,23.9,0.01
16,09:30:57,23.86,-0.04
17,09:31:01,23.86,0.0
18,09:31:03,23.9,0.04
19,09:31:06,23.94,0.04
20,09:31:09,23.9,-0.04
21,09:31:12,23.95,0.05
22,09:31:15,23.9,-0.05
23,09:31:21,23.95,0.05
24,09:31:24,23.95,0.0
25,09:31:27,23.92,-0.03
26,09:31:31,23.95,0.03
27,09:31:33,23.9,-0.05
28,09:31:38,23.86,-0.04
29,09:31:40,23.83,-0.03
30,09:31:42,23.85,0.02
31,09:31:45,23.76,-0.09
32,09:31:48,23.78,0.02
33,09:31:51,23.85,0.07
34,09:31:54,23.81,-0.04
35,09:31:57,23.85,0.04
36,09:32:01,23.86,0.01
37,09:32:03,23.89,0.03
38,09:32:06,23.9,0.01
39,09:32:09,23.89,-0.01
40,09:32:12,23.95,0.06
41,09:32:16,23.95,0.0
42,09:32:18,23.95,0.0
43,09:32:21,23.95,0.0
44,09:32:24,23.97,0.02
45,09:32:27,23.95,-0.02
46,09:32:31,23.92,-0.03
47,09:32:33,23.87,-0.05
48,09:32:36,23.95,0.08
49,09:32:39,23.91,-0.04
50,09:32:42,23.87,-0.04
51,09:32:46,23.87,0.0
52,09:32:48,23.87,0.0
53,09:32:51,23.87,0.0
54,09:32:54,23.88,0.01
55,09:32:57,23.88,0.0
56,09:33:01,23.87,-0.01
57,09:33:03,23.92,0.05
58,09:33:06,23.97,0.05
59,09:33:09,24.0,0.03
60,09:33:12,24.04,0.04
