,time,price,change
0,09:25:01,35.4,-0.67
1,09:30:02,35.3,-0.1
2,09:30:08,35.39,0.09
3,09:30:09,35.37,-0.02
4,09:30:12,35.38,0.01
5,09:30:13,35.39,0.01
6,09:30:16,35.43,0.04
7,09:30:19,35.49,0.06
8,09:30:22,35.46,-0.03
9,09:30:25,35.51,0.05
10,09:30:28,35.51,0.0
11,09:30:32,35.57,0.06
12,09:30:34,35.6,0.03
13,09:30:37,35.65,0.05
14,09:30:40,35.63,-0.02
15,09:30:43,35.7,0.07
16,09:30:46,35.69,-0.01
17,09:30:49,35.71,0.02
18,09:30:52,35.72,0.01
19,09:30:55,35.74,0.02
20,09:30:58,35.75,0.01
21,09:31:01,35.75,0.0
22,09:31:08,35.75,0.0
23,09:31:09,35.77,0.02
24,09:31:11,35.67,-0.1
25,09:31:13,35.73,0.06
26,09:31:16,35.7,-0.03
27,09:31:19,35.74,0.04
28,09:31:22,35.78,0.04
29,09:31:25,35.75,-0.03
30,09:31:29,35.81,0.06
31,09:31:31,35.84,0.03
32,09:31:35,35.8,-0.04
33,09:31:37,35.84,0.04
34,09:31:41,35.84,0.0
35,09:31:43,35.89,0.05
36,09:31:47,35.86,-0.03
37,09:31:49,35.86,0.0
38,09:31:53,35.87,0.01
39,09:31:55,35.86,-0.01
40,09:31:59,35.8,-0.06
41,09:32:01,35.8,0.0
42,09:32:07,35.65,-0.15
43,09:32:09,35.7,0.05
44,09:32:11,35.7,0.0
45,09:32:13,35.61,-0.09
46,09:32:16,35.67,0.06
47,09:32:20,35.65,-0.02
48,09:32:22,35.65,0.0
49,09:32:25,35.65,0.0
50,09:32:28,35.59,-0.06
51,09:32:32,35.64,0.05
52,09:32:35,35.64,0.0
53,09:32:37,35.64,0.0
54,09:32:40,35.68,0.04
55,09:32:44,35.65,-0.03
56,09:32:46,35.68,0.03
57,09:32:50,35.66,-0.02
58,09:32:52,35.68,0.02
59,09:32:56,35.63,-0.05
60,09:32:58,35.65,0.02
61,09:33:02,35.66,0.01
62,09:33:07,35.61,-0.05
63,09:33:09,35.66,0.05
64,09:33:10,35.63,-0.03
65,09:33:13,35.67,0.04
66,09:33:16,35.67,0.0
67,09:33:19,35.68,0.01
68,09:33:22,35.7,0.02
69,09:33:25,35.66,-0.04
70,09:33:28,35.68,0.02
71,09:33:31,35.69,0.01
72,09:33:34,35.7,0.01
73,09:33:37,35.66,-0.04
74,09:33:40,35.63,-0.03
75,09:33:43,35.65,0.02
76,09:33:46,35.62,-0.03
77,09:33:50,35.62,0.0
78,09:33:52,35.57,-0.05
79,09:33:56,35.63,0.06
80,09:33:59,35.62,-0.01
81,09:34:02,35.62,0.0
82,09:34:07,35.63,0.01
83,09:34:09,35.65,0.02
84,09:34:11,35.63,-0.02
85,09:34:14,35.7,0.07
86,09:34:16,35.66,-0.04
87,09:34:20,35.68,0.02
88,09:34:22,35.68,0.0
89,09:34:26,35.68,0.0
90,09:34:29,35.66,-0.02
91,09:34:31,35.66,0.0
92,09:34:34,35.68,0.02
93,09:34:38,35.71,0.03
94,09:34:40,35.73,0.02
95,09:34:43,35.75,0.02
96,09:34:46,35.75,0.0
97,09:34:49,35.76,0.01
98,09:34:52,35.73,-0.03
99,09:34:55,35.79,0.06
100,09:34:58,35.77,-0.02
101,09:35:01,35.78,0.01
102,09:35:07,35.77,-0.01
103,09:35:09,35.76,-0.01
104,09:35:11,35.77,0.01
105,09:35:13,35.78,0.01
106,09:35:16,35.73,-0.05
107,09:35:20,35.77,0.04
108,09:35:22,35.66,-0.11
109,09:35:25,35.61,-0.05
110,09:35:28,35.56,-0.05
111,09:35:31,35.54,-0.02
112,09:35:34,35.53,-0.01
113,09:35:37,35.58,0.05
114,09:35:41,35.61,0.03
115,09:35:43,35.58,-0.03
116,09:35:47,35.57,-0.01
117,09:35:50,35.58,0.01
118,09:35:52,35.6,0.02
119,09:35:56,35.57,-0.03
120,09:35:59,35.62,0.05
121,09:36:01,35.61,-0.01
122,09:36:07,35.58,-0.03
123,09:36:09,35.6,0.02
124,09:36:10,35.61,0.01
125,09:36:14,35.61,0.0
126,09:36:16,35.6,-0.01
127,09:36:19,35.62,0.02
128,09:36:22,35.61,-0.01
129,09:36:25,35.58,-0.03
130,09:36:29,35.6,0.02
131,09:36:31,35.59,-0.01
132,09:36:34,35.57,-0.02
133,09:36:37,35.55,-0.02
134,09:36:40,35.54,-0.01
135,09:36:43,35.5,-0.04
136,09:36:46,35.5,0.0
137,09:36:49,35.45,-0.05
138,09:36:52,35.45,0.0
139,09:36:55,35.44,-0.01
140,09:36:58,35.43,-0.01
141,09:37:01,35.39,-0.04
142,09:37:06,35.42,0.03
143,09:37:08,35.43,0.01
144,09:37:10,35.46,0.03
145,09:37:13,35.49,0.03
146,09:37:16,35.48,-0.01
147,09:37:20,35.5,0.02
148,09:37:22,35.5,0.0
149,09:37:25,35.5,0.0
150,09:37:28,35.5,0.0
151,09:37:32,35.51,0.01
152,09:37:34,35.54,0.03
153,09:37:37,35.54,0.0
154,09:37:41,35.54,0.0
155,09:37:43,35.51,-0.03
156,09:37:45,35.52,0.01
157,09:37:49,35.54,0.02
158,09:37:52,35.51,-0.03
159,09:37:55,35.5,-0.01
160,09:37:58,35.51,0.01
161,09:38:02,35.5,-0.01
162,09:38:07,35.51,0.01
163,09:38:08,35.51,0.0
164,09:38:11,35.52,0.01
165,09:38:13,35.51,-0.01
166,09:38:17,35.52,0.01
167,09:38:20,35.5,-0.02
168,09:38:22,35.52,0.02
169,09:38:26,35.52,0.0
170,09:38:28,35.52,0.0
171,09:38:31,35.52,0.0
172,09:38:34,35.52,0.0
173,09:38:37,35.54,0.02
174,09:38:40,35.52,-0.02
175,09:38:43,35.52,0.0
176,09:38:46,35.51,-0.01
177,09:38:50,35.5,-0.01
178,09:38:52,35.49,-0.01
179,09:38:56,35.47,-0.02
180,09:38:58,35.44,-0.03
181,09:39:02,35.43,-0.01
182,09:39:08,35.42,-0.01
183,09:39:09,35.42,0.0
184,09:39:10,35.4,-0.02
185,09:39:13,35.41,0.01
186,09:39:16,35.41,0.0
187,09:39:19,35.4,-0.01
188,09:39:22,35.41,0.01
189,09:39:25,35.41,0.0
190,09:39:28,35.4,-0.01
191,09:39:31,35.41,0.01
192,09:39:34,35.41,0.0
193,09:39:37,35.4,-0.01
194,09:39:40,35.4,0.0
195,09:39:44,35.4,0.0
196,09:39:46,35.39,-0.01
197,09:39:49,35.4,0.01
198,09:39:52,35.4,0.0
199,09:39:55,35.39,-0.01
200,09:39:59,35.39,0.0
201,09:40:01,35.39,0.0
202,09:40:07,35.39,0.0
203,09:40:08,35.39,0.0
204,09:40:10,35.39,0.0
205,09:40:13,35.4,0.01
206,09:40:16,35.38,-0.02
207,09:40:19,35.4,0.02
208,09:40:22,35.4,0.0
209,09:40:25,35.4,0.0
210,09:40:28,35.45,0.05
211,09:40:32,35.46,0.01
212,09:40:35,35.46,0.0
213,09:40:37,35.48,0.02
214,09:40:40,35.49,0.01
215,09:40:43,35.48,-0.01
216,09:40:46,35.5,0.02
217,09:40:49,35.49,-0.01
218,09:40:52,35.5,0.01
219,09:40:55,35.48,-0.02
220,09:40:57,35.51,0.03
221,09:41:01,35.52,0.01
222,09:41:07,35.5,-0.02
223,09:41:08,35.51,0.01
224,09:41:11,35.48,-0.03
225,09:41:13,35.45,-0.03
226,09:41:16,35.45,0.0
227,09:41:19,35.44,-0.01
228,09:41:22,35.48,0.04
