,time,price,change
0,09:25:01,36.31,0.36
1,09:30:01,36.32,0.01
2,09:30:08,36.31,-0.01
3,09:30:10,36.32,0.01
4,09:30:13,36.33,0.01
5,09:30:14,36.34,0.01
6,09:30:17,36.37,0.03
7,09:30:19,36.33,-0.04
8,09:30:21,36.38,0.05
9,09:30:25,36.35,-0.03
10,09:30:27,36.35,0.0
11,09:30:32,36.36,0.01
12,09:30:34,36.35,-0.01
13,09:30:37,36.33,-0.02
14,09:30:40,36.31,-0.02
15,09:30:43,36.27,-0.04
16,09:30:47,36.27,0.0
17,09:30:49,36.27,0.0
18,09:30:51,36.27,0.0
19,09:30:55,36.23,-0.04
20,09:30:58,36.27,0.04
21,09:31:02,36.23,-0.04
22,09:31:08,36.23,0.0
23,09:31:10,36.22,-0.01
24,09:31:11,36.27,0.05
25,09:31:14,36.31,0.04
26,09:31:16,36.32,0.01
27,09:31:19,36.35,0.03
28,09:31:22,36.38,0.03
29,09:31:25,36.38,0.0
30,09:31:28,36.38,0.0
31,09:31:31,36.38,0.0
32,09:31:34,36.38,0.0
33,09:31:37,36.37,-0.01
34,09:31:40,36.38,0.01
35,09:31:43,36.37,-0.01
36,09:31:47,36.36,-0.01
37,09:31:49,36.37,0.01
38,09:31:53,36.36,-0.01
39,09:31:55,36.35,-0.01
40,09:31:57,36.36,0.01
41,09:32:01,36.36,0.0
42,09:32:07,36.37,0.01
43,09:32:10,36.36,-0.01
44,09:32:11,36.37,0.01
45,09:32:14,36.39,0.02
46,09:32:16,36.37,-0.02
47,09:32:18,36.39,0.02
48,09:32:22,36.38,-0.01
49,09:32:25,36.37,-0.01
50,09:32:27,36.38,0.01
51,09:32:31,36.38,0.0
52,09:32:35,36.4,0.02
53,09:32:37,36.38,-0.02
54,09:32:40,36.4,0.02
55,09:32:43,36.39,-0.01
56,09:32:46,36.39,0.0
57,09:32:49,36.38,-0.01
58,09:32:52,36.37,-0.01
59,09:32:55,36.36,-0.01
60,09:32:58,36.37,0.01
61,09:33:01,36.36,-0.01
62,09:33:08,36.3,-0.06
63,09:33:10,36.29,-0.01
64,09:33:12,36.3,0.01
65,09:33:14,36.28,-0.02
66,09:33:17,36.3,0.02
67,09:33:19,36.28,-0.02
68,09:33:22,36.3,0.02
69,09:33:25,36.26,-0.04
70,09:33:28,36.28,0.02
71,09:33:31,36.28,0.0
72,09:33:34,36.26,-0.02
73,09:33:37,36.26,0.0
74,09:33:40,36.26,0.0
75,09:33:43,36.24,-0.02
76,09:33:46,36.22,-0.02
77,09:33:48,36.21,-0.01
78,09:33:52,36.21,0.0
79,09:33:54,36.21,0.0
80,09:33:58,36.2,-0.01
81,09:34:01,36.2,0.0
82,09:34:07,36.19,-0.01
83,09:34:09,36.2,0.01
84,09:34:11,36.18,-0.02
85,09:34:13,36.23,0.05
86,09:34:16,36.3,0.07
87,09:34:19,36.32,0.02
88,09:34:22,36.34,0.02
89,09:34:26,36.32,-0.02
90,09:34:28,36.32,0.0
91,09:34:30,36.3,-0.02
92,09:34:34,36.27,-0.03
93,09:34:37,36.3,0.03
94,09:34:40,36.3,0.0
95,09:34:43,36.26,-0.04
96,09:34:46,36.3,0.04
97,09:34:49,36.28,-0.02
98,09:34:53,36.29,0.01
99,09:34:55,36.3,0.01
100,09:34:57,36.27,-0.03
101,09:35:01,36.29,0.02
102,09:35:07,36.3,0.01
103,09:35:09,36.29,-0.01
104,09:35:11,36.28,-0.01
105,09:35:12,36.29,0.01
106,09:35:16,36.25,-0.04
107,09:35:19,36.3,0.05
108,09:35:22,36.27,-0.03
109,09:35:25,36.22,-0.05
110,09:35:28,36.24,0.02
111,09:35:31,36.22,-0.02
112,09:35:34,36.2,-0.02
113,09:35:37,36.22,0.02
114,09:35:39,36.21,-0.01
115,09:35:43,36.22,0.01
116,09:35:45,36.19,-0.03
117,09:35:49,36.19,0.0
118,09:35:51,36.2,0.01
119,09:35:55,36.19,-0.01
120,09:35:58,36.19,0.0
121,09:36:01,36.2,0.01
122,09:36:07,36.2,0.0
123,09:36:10,36.2,0.0
124,09:36:11,36.21,0.01
125,09:36:14,36.21,0.0
126,09:36:16,36.18,-0.03
127,09:36:19,36.16,-0.02
128,09:36:22,36.18,0.02
129,09:36:25,36.19,0.01
130,09:36:28,36.16,-0.03
131,09:36:31,36.2,0.04
132,09:36:35,36.16,-0.04
133,09:36:37,36.2,0.04
134,09:36:41,36.18,-0.02
135,09:36:43,36.19,0.01
136,09:36:46,36.2,0.01
137,09:36:49,36.17,-0.03
138,09:36:52,36.2,0.03
139,09:36:56,36.17,-0.03
140,09:36:58,36.18,0.01
141,09:37:02,36.18,0.0
142,09:37:08,36.2,0.02
143,09:37:09,36.2,0.0
144,09:37:11,36.2,0.0
145,09:37:13,36.2,0.0
146,09:37:16,36.21,0.01
147,09:37:19,36.2,-0.01
148,09:37:22,36.2,0.0
149,09:37:25,36.22,0.02
150,09:37:28,36.22,0.0
151,09:37:31,36.22,0.0
152,09:37:34,36.2,-0.02
153,09:37:37,36.22,0.02
154,09:37:39,36.2,-0.02
155,09:37:43,36.19,-0.01
156,09:37:46,36.2,0.01
157,09:37:48,36.19,-0.01
158,09:37:53,36.19,0.0
159,09:37:55,36.2,0.01
160,09:37:57,36.2,0.0
161,09:38:01,36.22,0.02
162,09:38:07,36.22,0.0
163,09:38:08,36.23,0.01
164,09:38:11,36.22,-0.01
165,09:38:14,36.22,0.0
166,09:38:16,36.25,0.03
167,09:38:18,36.22,-0.03
168,09:38:22,36.22,0.0
169,09:38:26,36.19,-0.03
170,09:38:28,36.19,0.0
171,09:38:32,36.19,0.0
172,09:38:34,36.17,-0.02
173,09:38:38,36.22,0.05
174,09:38:43,36.22,0.0
175,09:38:46,36.2,-0.02
176,09:38:49,36.2,0.0
177,09:38:52,36.2,0.0
178,09:38:55,36.19,-0.01
179,09:38:58,36.19,0.0
180,09:39:01,36.17,-0.02
181,09:39:07,36.19,0.02
182,09:39:09,36.19,0.0
183,09:39:11,36.18,-0.01
184,09:39:13,36.16,-0.02
185,09:39:16,36.18,0.02
186,09:39:19,36.18,0.0
187,09:39:22,36.17,-0.01
188,09:39:25,36.15,-0.02
189,09:39:28,36.15,0.0
190,09:39:32,36.15,0.0
191,09:39:34,36.14,-0.01
192,09:39:36,36.15,0.01
193,09:39:40,36.14,-0.01
194,09:39:42,36.14,0.0
195,09:39:46,36.17,0.03
196,09:39:48,36.15,-0.02
197,09:39:52,36.16,0.01
198,09:39:55,36.1,-0.06
199,09:39:58,36.16,0.06
200,09:40:01,36.17,0.01
201,09:40:07,36.18,0.01
202,09:40:09,36.16,-0.02
203,09:40:11,36.17,0.01
204,09:40:12,36.2,0.03
205,09:40:16,36.22,0.02
206,09:40:18,36.23,0.01
207,09:40:22,36.23,0.0
208,09:40:26,36.21,-0.02
209,09:40:28,36.2,-0.01
210,09:40:32,36.24,0.04
211,09:40:34,36.15,-0.09
212,09:40:37,36.23,0.08
213,09:40:40,36.2,-0.03
214,09:40:43,36.16,-0.04
215,09:40:46,36.19,0.03
216,09:40:49,36.16,-0.03
217,09:40:53,36.18,0.02
218,09:40:55,36.2,0.02
219,09:40:59,36.17,-0.03
220,09:41:01,36.2,0.03
221,09:41:07,36.15,-0.05
222,09:41:10,36.2,0.05
223,09:41:11,36.2,0.0
224,09:41:13,36.2,0.0
225,09:41:16,36.21,0.01
226,09:41:20,36.2,-0.01
227,09:41:22,36.21,0.01
228,09:41:26,36.2,-0.01
229,09:41:28,36.21,0.01
230,09:41:32,36.21,0.0
231,09:41:34,36.22,0.01
232,09:41:38,36.22,0.0
233,09:41:40,36.15,-0.07
234,09:41:44,36.23,0.08
235,09:41:46,36.22,-0.01
236,09:41:48,36.21,-0.01
237,09:41:52,36.21,0.0
238,09:41:55,36.21,0.0
239,09:41:58,36.23,0.02
240,09:42:01,36.22,-0.01
241,09:42:08,36.23,0.01
242,09:42:09,36.22,-0.01
243,09:42:11,36.22,0.0
244,09:42:13,36.15,-0.07
245,09:42:16,36.15,0.0
246,09:42:19,36.15,0.0
247,09:42:22,36.17,0.02
248,09:42:25,36.2,0.03
249,09:42:28,36.15,-0.05
250,09:42:31,36.15,0.0
251,09:42:34,36.19,0.04
252,09:42:37,36.15,-0.04
253,09:42:39,36.15,0.0
254,09:42:44,36.15,0.0
255,09:42:46,36.14,-0.01
256,09:42:48,36.14,0.0
257,09:42:52,36.13,-0.01
258,09:42:55,36.14,0.01
259,09:42:59,36.13,-0.01
260,09:43:01,36.12,-0.01
261,09:43:07,36.12,0.0
262,09:43:09,36.1,-0.02
263,09:43:11,36.09,-0.01
264,09:43:13,36.09,0.0
265,09:43:16,36.08,-0.01
266,09:43:19,36.08,0.0
267,09:43:22,36.08,0.0
268,09:43:25,36.09,0.01
269,09:43:27,36.08,-0.01
270,09:43:31,36.08,0.0
271,09:43:35,36.06,-0.02
272,09:43:37,36.07,0.01
273,09:43:41,36.06,-0.01
274,09:43:43,36.07,0.01
275,09:43:47,36.06,-0.01
276,09:43:49,36.06,0.0
277,09:43:53,36.07,0.01
278,09:43:55,36.06,-0.01
279,09:43:57,36.06,0.0
280,09:44:00,36.06,0.0
281,09:44:08,36.06,0.0
282,09:44:09,36.05,-0.01
283,09:44:11,36.06,0.01
284,09:44:12,36.05,-0.01
285,09:44:16,36.04,-0.01
286,09:44:20,36.05,0.01
287,09:44:22,36.06,0.01
288,09:44:26,36.06,0.0
289,09:44:28,36.07,0.01
290,09:44:32,36.07,0.0
291,09:44:34,36.07,0.0
292,09:44:38,36.07,0.0
293,09:44:40,36.09,0.02
294,09:44:43,36.09,0.0
295,09:44:46,36.09,0.0
296,09:44:49,36.08,-0.01
297,09:44:52,36.09,0.01
298,09:44:55,36.08,-0.01
299,09:44:59,36.09,0.01
300,09:45:01,36.09,0.0
301,09:45:07,36.08,-0.01
302,09:45:10,36.07,-0.01
303,09:45:11,36.06,-0.01
304,09:45:13,36.06,0.0
305,09:45:16,36.06,0.0
306,09:45:19,36.04,-0.02
307,09:45:22,36.05,0.01
308,09:45:25,36.05,0.0
309,09:45:28,36.03,-0.02
310,09:45:31,35.99,-0.04
311,09:45:34,36.0,0.01
312,09:45:38,36.03,0.03
313,09:45:40,36.0,-0.03
314,09:45:44,36.0,0.0
315,09:45:46,36.01,0.01
316,09:45:49,36.01,0.0
317,09:45:52,36.01,0.0
318,09:45:55,36.01,0.0
319,09:45:58,36.01,0.0
320,09:46:01,36.0,-0.01
321,09:46:07,36.02,0.02
322,09:46:09,36.03,0.01
323,09:46:11,36.02,-0.01
324,09:46:14,36.02,0.0
325,09:46:16,36.03,0.01
326,09:46:19,36.06,0.03
327,09:46:22,36.06,0.0
328,09:46:25,36.07,0.01
329,09:46:28,36.07,0.0
330,09:46:31,36.07,0.0
331,09:46:35,36.09,0.02
332,09:46:37,36.08,-0.01
333,09:46:39,36.08,0.0
334,09:46:43,36.08,0.0
335,09:46:46,36.05,-0.03
336,09:46:48,36.07,0.02
337,09:46:53,36.07,0.0
338,09:46:55,36.06,-0.01
339,09:46:57,36.07,0.01
340,09:47:02,36.05,-0.02
341,09:47:08,36.05,0.0
342,09:47:09,36.0,-0.05
343,09:47:12,36.0,0.0
344,09:47:13,36.0,0.0
345,09:47:16,36.0,0.0
346,09:47:19,36.0,0.0
347,09:47:22,36.0,0.0
348,09:47:25,35.99,-0.01
349,09:47:27,36.0,0.01
350,09:47:31,35.99,-0.01
351,09:47:33,35.99,0.0
352,09:47:37,36.0,0.01
353,09:47:40,35.99,-0.01
354,09:47:43,35.98,-0.01
355,09:47:46,36.0,0.02
356,09:47:49,35.99,-0.01
357,09:47:52,36.0,0.01
358,09:47:55,36.01,0.01
359,09:47:58,36.0,-0.01
360,09:48:01,36.01,0.01
361,09:48:07,36.0,-0.01
362,09:48:09,36.01,0.01
363,09:48:11,36.01,0.0
364,09:48:14,36.01,0.0
365,09:48:16,35.96,-0.05
366,09:48:19,36.04,0.08
367,09:48:22,36.05,0.01
368,09:48:25,36.05,0.0
369,09:48:28,36.04,-0.01
370,09:48:31,36.05,0.01
371,09:48:34,36.05,0.0
372,09:48:37,36.03,-0.02
373,09:48:41,36.02,-0.01
374,09:48:43,36.0,-0.02
375,09:48:46,36.0,0.0
376,09:48:49,36.0,0.0
377,09:48:52,35.98,-0.02
378,09:48:56,36.0,0.02
379,09:48:58,35.94,-0.06
380,09:49:00,35.98,0.04
381,09:49:08,35.97,-0.01
382,09:49:09,35.97,0.0
383,09:49:12,35.94,-0.03
384,09:49:13,35.95,0.01
385,09:49:16,35.95,0.0
386,09:49:19,35.97,0.02
387,09:49:23,35.95,-0.02
388,09:49:25,35.97,0.02
389,09:49:27,35.98,0.01
390,09:49:31,35.96,-0.02
391,09:49:34,35.97,0.01
392,09:49:37,35.99,0.02
393,09:49:40,35.95,-0.04
394,09:49:43,35.98,0.03
395,09:49:46,35.98,0.0
396,09:49:49,35.97,-0.01
397,09:49:52,35.98,0.01
398,09:49:55,35.98,0.0
399,09:49:58,35.98,0.0
400,09:50:01,35.98,0.0
401,09:50:08,35.97,-0.01
402,09:50:09,35.97,0.0
403,09:50:12,35.97,0.0
404,09:50:13,35.97,0.0
405,09:50:16,35.97,0.0
406,09:50:19,35.96,-0.01
407,09:50:22,35.96,0.0
408,09:50:25,35.95,-0.01
409,09:50:29,35.95,0.0
410,09:50:31,35.97,0.02
411,09:50:35,35.96,-0.01
412,09:50:37,35.95,-0.01
413,09:50:41,35.96,0.01
414,09:50:43,35.96,0.0
415,09:50:46,35.96,0.0
416,09:50:49,35.96,0.0
417,09:50:52,35.95,-0.01
418,09:50:54,35.95,0.0
419,09:50:58,35.95,0.0
420,09:51:02,35.96,0.01
421,09:51:08,35.96,0.0
422,09:51:09,35.95,-0.01
423,09:51:11,35.95,0.0
424,09:51:13,35.95,0.0
425,09:51:16,35.96,0.01
426,09:51:19,35.95,-0.01
427,09:51:22,35.97,0.02
428,09:51:25,35.92,-0.05
429,09:51:28,35.96,0.04
430,09:51:31,35.96,0.0
431,09:51:33,35.95,-0.01
432,09:51:37,35.95,0.0
433,09:51:40,35.95,0.0
434,09:51:43,35.96,0.01
435,09:51:46,35.97,0.01
436,09:51:49,35.97,0.0
437,09:51:52,35.97,0.0
438,09:51:55,35.98,0.01
439,09:51:58,35.98,0.0
440,09:52:00,35.98,0.0
441,09:52:08,35.98,0.0
442,09:52:09,35.98,0.0
443,09:52:10,35.98,0.0
444,09:52:13,35.98,0.0
445,09:52:16,35.98,0.0
446,09:52:18,35.97,-0.01
447,09:52:22,35.99,0.02
448,09:52:26,35.9,-0.09
449,09:52:28,35.95,0.05
450,09:52:30,35.97,0.02
451,09:52:34,35.98,0.01
452,09:52:38,35.95,-0.03
453,09:52:44,35.92,-0.03
454,09:52:46,35.96,0.04
455,09:52:49,35.92,-0.04
456,09:52:52,35.96,0.04
457,09:52:55,35.9,-0.06
458,09:52:58,35.96,0.06
459,09:53:01,35.96,0.0
460,09:53:07,35.96,0.0
461,09:53:08,35.92,-0.04
462,09:53:10,35.96,0.04
463,09:53:15,35.95,-0.01
464,09:53:20,35.95,0.0
465,09:53:22,35.94,-0.01
466,09:53:29,35.95,0.01
467,09:53:31,35.95,0.0
468,09:53:35,35.95,0.0
469,09:53:37,35.95,0.0
470,09:53:40,35.9,-0.05
471,09:53:42,35.94,0.04
472,09:53:46,35.9,-0.04
473,09:53:48,35.94,0.04
474,09:53:52,35.94,0.0
475,09:53:54,35.93,-0.01
476,09:53:58,35.94,0.01
477,09:54:01,35.94,0.0
478,09:54:08,35.94,0.0
479,09:54:09,35.91,-0.03
480,09:54:10,35.92,0.01
481,09:54:12,35.93,0.01
482,09:54:16,35.92,-0.01
483,09:54:18,35.92,0.0
484,09:54:23,35.93,0.01
485,09:54:25,35.93,0.0
486,09:54:28,35.88,-0.05
487,09:54:31,35.93,0.05
488,09:54:34,35.93,0.0
